,county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,race_pop_minority,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_race_pop_minority,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84,County,county
0,"Adams County, Illinois",1862,19,0.01020408163,38542,66427,1021,61009,2676,178,540,42,72,889,66427,32481,33946,4120,4369,4143,3768,3853,8242,7454,8434,4862,4213,6706,4367,1896,41.3,855.141,0.114,65175,62125,46656,25786,3050,27300,1658,1225,3037,3181,4166,5540,3229,3365,964,935,51398,69598,29347,44361,36086,1.020408163,2.803077062,58.02158761,77.67958734,2,5920,7347,22036,4329,13267,8769,1181,5418,35949,24215,6263,53458,12969,28495,20750,15286,0.01537025607,0.9184367802,0.04028482394,0.002679633282,0.008129224562,0.0006322730215,0.001083896608,0.01338311229,0.4889728574,0.5110271426,0.06202297259,0.06577144836,0.06236921734,0.0567239225,0.05800352266,0.1240760534,0.1122134072,0.1269664444,0.0731931293,0.06342300571,0.1009529258,0.06574134012,0.02854261069,0.9532029152,0.04679708477,0.06073260073,0.04487179487,0.1112454212,0.1165201465,0.1526007326,0.2029304029,0.1182783883,0.1232600733,0.03531135531,0.03424908425,0.2168498168,0.2691208791,0.8071794872,0.1585714286,0.485970696,0.3212087912,0.0177789152,0.08156321978,0.5411805441,0.3645355051,0.0942839508,0.8047631234,0.1952368766,0.4289671369,0.3123729809,0.2301172716,Adams County,Adams
1,"Alexander County, Illinois",120,1,0.008333333333,2350,6532,73,4063,2169,48,6,0,0,173,6532,3104,3428,460,398,553,352,225,737,664,799,548,468,823,382,123,42.8,235.521,0.036,6469,6030,2784,4141,439,2323,291,175,418,286,415,355,182,104,86,11,34709,45672,19065,42702,32449,0.8333333333,1.837109614,35.97672994,27.73425724,1,884,701,2122,190,1585,537,221,2469,3389,2638,505,5204,1328,2725,2011,1673,0.01117575015,0.6220146969,0.3320575628,0.007348438457,0.0009185548071,0,0,0.02648499694,0.4751990202,0.5248009798,0.07042253521,0.0609308022,0.08466013472,0.05388854868,0.03444580527,0.1128291488,0.1016533987,0.1223208818,0.08389467238,0.07164727495,0.125995101,0.05848132272,0.01883037355,0.9321378884,0.06786211161,0.1252690486,0.07533362032,0.1799397331,0.1231166595,0.1786482996,0.1528196298,0.07834696513,0.04476969436,0.03702109341,0.004735256134,0.3805424021,0.3017649591,0.9134739561,0.08179078777,0.6823073612,0.2311665949,0.03383343539,0.3779853031,0.5188303735,0.4038579302,0.07731169626,0.7966932027,0.2033067973,0.4171769749,0.3078689528,0.2561236987,Alexander County,Alexander
2,"Bond County, Illinois",499,9,0.01803607214,7700,16712,578,14705,1043,50,196,0,22,118,16712,8587,8125,770,910,880,1168,1161,1993,2178,2297,1240,1196,1584,911,424,41.3,380.339,0.061,15475,14524,11521,5639,951,6218,384,291,635,503,863,1256,933,903,306,144,58097,70131,26356,48807,33409,1.803607214,2.985878411,46.07467688,43.93974849,2,1310,1366,4865,1209,2676,2189,190,2007,9060,6317,1335,13793,2919,6882,5715,3691,0.03458592628,0.8799066539,0.06241024414,0.002991862135,0.01172809957,0,0.001316419339,0.007060794639,0.5138224031,0.4861775969,0.04607467688,0.05445189086,0.05265677358,0.06988989947,0.06947103877,0.1192556247,0.1303255146,0.1374461465,0.07419818095,0.07156534227,0.09478219244,0.0545117281,0.0253709909,0.938546042,0.061453958,0.0617561917,0.04679961402,0.1021228691,0.08089417819,0.1387906079,0.2019942104,0.150048247,0.1452235445,0.04921196526,0.02315857189,0.2106786748,0.2196847861,0.7824059183,0.1944355098,0.4303634609,0.3520424574,0.01136907611,0.1200933461,0.5421254189,0.3779918621,0.079882719,0.8253350886,0.1746649114,0.4117999043,0.341969842,0.2208592628,Bond County,Bond
3,"Boone County, Illinois",1860,25,0.01344086022,21756,53606,11459,39370,1084,153,633,0,59,848,53606,26830,26776,3062,3331,4577,4481,3228,5678,6773,7912,3625,3011,4829,2263,836,38.4,280.762,0.078,53224,49863,39032,17404,3361,18731,876,622,1503,1706,2286,3532,2768,3205,1073,1160,66898,85599,30725,55756,39953,1.344086022,3.469760848,40.58500914,190.9303966,3,3001,3992,13293,4278,6993,6300,1060,14236,31130,19377,3099,45678,7928,24357,18310,10103,0.2137633847,0.7344327128,0.02022161698,0.002854158117,0.01180837966,0,0.001100623065,0.01581912472,0.500503675,0.499496325,0.05712047159,0.06213856658,0.08538223333,0.08359138902,0.06021713987,0.105920979,0.1263477969,0.1475954184,0.06762302727,0.05616908555,0.09008319964,0.04221542365,0.01559526919,0.9368517962,0.06314820382,0.04676739096,0.03320698308,0.0802413112,0.09107896001,0.1220436709,0.1885644119,0.1477764134,0.1711067215,0.05728471518,0.06192942181,0.1602156852,0.2131226309,0.7096791415,0.2283914367,0.3733383162,0.3363408254,0.01977390591,0.2655672872,0.5807185763,0.3614707309,0.05781069283,0.8521061075,0.1478938925,0.4543707794,0.3415662426,0.1884677088,Boone County,Boone
4,"Brown County, Illinois",107,0,0,2162,6675,286,4933,1343,6,37,0,4,66,6675,4238,2437,275,302,320,278,506,1153,1103,966,504,319,508,287,154,39,305.679,0.082,4804,4521,3452,1744,283,2087,78,147,211,160,244,467,352,324,54,50,58762,67824,22279,50643,37708,0,1.602996255,32.38951311,21.83663255,1,436,404,1659,378,840,819,76,1742,3937,2297,441,5726,949,2834,2573,1114,0.04284644195,0.7390262172,0.2011985019,0.0008988764045,0.005543071161,0,0.0005992509363,0.009887640449,0.634906367,0.365093633,0.04119850187,0.04524344569,0.04794007491,0.04164794007,0.07580524345,0.1727340824,0.1652434457,0.1447191011,0.07550561798,0.04779026217,0.07610486891,0.04299625468,0.02307116105,0.9410907577,0.0589092423,0.03737422137,0.07043603258,0.1011020604,0.07666506948,0.116914231,0.2237661715,0.1686631529,0.1552467657,0.02587446095,0.02395783421,0.2089123143,0.1935793004,0.7949209391,0.1811212266,0.4024916148,0.3924293244,0.01138576779,0.2609737828,0.5898127341,0.3441198502,0.06606741573,0.8578277154,0.1421722846,0.4245692884,0.3854681648,0.1668913858,Brown County,Brown
5,"Bureau County, Illinois",906,16,0.01766004415,12622,33381,2995,29382,304,46,289,3,25,337,33381,16437,16944,1741,1897,2278,2019,1875,3515,3701,4444,2439,2449,3727,2404,892,44,869.084,0.126,33010,31390,23774,13114,1620,13805,665,518,1523,1413,2109,2714,1989,1903,540,431,55940,69674,29126,52252,34993,1.766004415,2.71411881,37.81192894,38.40940577,2,2706,3522,10931,2443,6228,4703,411,3999,17026,13059,3296,26358,7023,13325,10584,8580,0.08972169797,0.8802013121,0.009106977023,0.001378029418,0.008657619604,8.99E-05,0.0007489290315,0.01009556334,0.4924058596,0.5075941404,0.05215541775,0.05682873491,0.06824241335,0.06048350858,0.05616967736,0.1052994218,0.1108714538,0.1331296246,0.07306551631,0.07336508792,0.11165034,0.07201701567,0.02672178784,0.9509239624,0.04907603756,0.04817095255,0.03752263673,0.110322347,0.1023542195,0.1527707352,0.1965954364,0.1440782325,0.1378486056,0.03911626222,0.03122057226,0.1960159363,0.2551249547,0.7918145599,0.1769648678,0.451140891,0.340673669,0.01231239328,0.1197986879,0.5100506276,0.3912105689,0.09873880351,0.7896108565,0.2103891435,0.3991791738,0.3170665948,0.2570324436,Bureau County,Bureau
6,"Calhoun County, Illinois",66,0,0,1626,4858,57,4711,17,1,41,0,0,31,4858,2435,2423,254,217,369,331,188,453,511,678,387,357,593,404,116,46.7,253.825,0.079,4777,4640,3261,2112,137,1805,140,137,173,151,215,368,219,305,51,46,54392,66845,27314,54191,45260,0,1.358583779,33.47056402,19.13917069,1,450,366,1403,356,816,587,32,147,2323,2015,520,3745,1113,1812,1576,1354,0.01173322355,0.969740634,0.003499382462,0.0002058460272,0.008439687114,0,0,0.006381226842,0.5012350762,0.4987649238,0.0522848909,0.0446685879,0.07595718403,0.06813503499,0.03869905311,0.09324825031,0.1051873199,0.1395636064,0.07966241252,0.0734870317,0.1220666941,0.08316179498,0.02387813915,0.9713209127,0.02867908729,0.07756232687,0.07590027701,0.09584487535,0.0836565097,0.1191135734,0.2038781163,0.1213296399,0.1689750693,0.02825484765,0.02548476454,0.2493074792,0.2027700831,0.7772853186,0.1972299169,0.4520775623,0.3252077562,0.006587072869,0.03025936599,0.4781803211,0.4147797448,0.1070399341,0.7708933718,0.2291066282,0.3729930012,0.3244133388,0.2787155208,Calhoun County,Calhoun
7,"Carroll County, Illinois",410,11,0.02682926829,6829,14562,523,13579,163,17,107,0,12,161,14562,7229,7333,770,668,869,812,771,1447,1525,1816,1172,1168,2006,1174,364,47.9,445.043,0.073,14376,13498,10356,5939,878,6476,411,291,727,836,918,1342,898,738,202,113,51228,62739,28053,48193,32568,2.682926829,2.815547315,46.89603077,32.72043376,2,1429,1754,5423,940,3183,2240,190,983,6862,6162,1538,11018,3544,5337,4513,4348,0.03591539624,0.9324955363,0.01119351737,0.001167422057,0.007347891773,0,0.0008240626288,0.0110561736,0.4964290619,0.5035709381,0.05287735201,0.04587281967,0.0596758687,0.05576157121,0.0529460239,0.09936821865,0.1047246257,0.1247081445,0.08048345008,0.08020876253,0.1377558028,0.08062079385,0.02499656641,0.9389259878,0.06107401224,0.06346510191,0.04493514515,0.1122606547,0.1290920321,0.1417541692,0.2072266831,0.1386658431,0.1139592341,0.03119209389,0.01744904262,0.2206609018,0.2708462014,0.8373996294,0.145151328,0.4915071032,0.3458925263,0.01304765829,0.06750446367,0.4712264799,0.4231561599,0.1056173603,0.756626837,0.243373163,0.3665018541,0.3099162203,0.2985853592,Carroll County,Carroll
8,"Cass County, Illinois",462,11,0.02380952381,5610,12665,2374,9622,505,17,47,1,13,86,12665,6353,6312,820,990,729,811,698,1569,1563,1672,997,697,1101,747,271,39.7,375.751,0.056,12520,11628,8581,4945,892,5024,220,252,591,642,684,1084,697,627,106,121,51997,65081,26245,42963,32048,2.380952381,3.647848401,44.29530201,33.70583179,3,1063,1326,4170,733,2389,1781,117,3043,7180,4467,1018,10546,2119,5617,4232,2545,0.1874457165,0.7597315436,0.03987366759,0.001342281879,0.003711014607,7.90E-05,0.001026450849,0.006790367154,0.501618634,0.498381366,0.06474536123,0.07816818002,0.05756020529,0.06403474141,0.0551125148,0.1238847217,0.1234109751,0.1320173707,0.07872088433,0.05503355705,0.08693249112,0.05898144493,0.02139755231,0.9287539936,0.07124600639,0.04378980892,0.05015923567,0.1176353503,0.1277866242,0.1361464968,0.2157643312,0.1387340764,0.1248009554,0.02109872611,0.0240843949,0.2115843949,0.263933121,0.8300159236,0.1458996815,0.4755175159,0.3544984076,0.009238057639,0.2402684564,0.5669166996,0.3527043032,0.08037899724,0.8326885116,0.1673114884,0.4435057244,0.3341492302,0.2009474931,Cass County,Cass
9,"Champaign County, Illinois",6091,29,0.004761122968,755316,209448,12239,141757,27617,268,22278,121,351,4817,209448,104513,104935,11603,10611,10676,21476,33845,30799,22536,20674,10965,11235,14213,7333,3482,29.9,996.109,0.099,207596,197733,165491,53628,9863,82499,10978,3699,8015,7573,9970,13835,9079,11109,3954,4287,51692,72496,29683,49078,41549,0.4761122968,2.908120393,360.6222069,210.2661456,2,22692,17543,63149,15063,40235,22914,5557,67691,141546,57087,10815,184420,25028,119010,54175,32781,0.05843455177,0.676812383,0.131856117,0.001279553875,0.1063653031,0.0005777090256,0.00167583362,0.02299854857,0.49899259,0.50100741,0.05539799855,0.05066173943,0.05097207899,0.1025361904,0.1615914213,0.1470484321,0.1075971124,0.09870707765,0.05235189641,0.0536409992,0.06785932547,0.03501107674,0.01662465146,0.9524894507,0.04751054934,0.1330682796,0.04483690711,0.09715269276,0.09179505206,0.1208499497,0.1676990024,0.1100498188,0.1346561777,0.04792785367,0.05196426623,0.2750578795,0.2126450018,0.7654517024,0.1825840313,0.4877028812,0.2777488212,0.02653164509,0.323187617,0.6758049731,0.2725592987,0.0516357282,0.8805049463,0.1194950537,0.5682078607,0.2586560865,0.1565114014,Champaign County,Champaign
