county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,state,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,race_pop_minority,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_race_pop_minority,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84
"Adams County, Illinois",1862.0,19.0,0.010204081632653059,38542,66427,1021,61009,2676,178,540,42,72,889,66427,32481,33946,4120,4369,4143,3768,3853,8242,7454,8434,4862,4213,6706,4367,1896,41.3,855.1410000000003,0.114,65175,62125,46656,25786,3050,27300,1658,1225,3037,3181,4166,5540,3229,3365,964,935,51398,69598,29347,44361,36086,1.020408163265306,2.8030770620380268,58.02158760744878,77.679587342906,Illinois,2,5920,7347,22036,4329,13267,8769,1181,5418,35949,24215,6263,53458,12969,28495,20750,15286,0.015370256070573712,0.9184367802249086,0.04028482394207175,0.002679633281647523,0.008129224562301474,0.0006322730215123369,0.0010838966083068632,0.013383112288677796,0.4889728574224336,0.5110271425775663,0.06202297258644828,0.06577144835684284,0.062369217336324084,0.05672392250139251,0.058003522663977,0.1240760534120162,0.11221340719887997,0.12696644436750118,0.0731931292998329,0.0634230057055113,0.10095292576813646,0.06574134011772322,0.028542610685414065,0.9532029152282316,0.04679708477176832,0.060732600732600735,0.04487179487179487,0.11124542124542125,0.11652014652014651,0.1526007326007326,0.20293040293040293,0.11827838827838828,0.12326007326007327,0.03531135531135531,0.03424908424908425,0.21684981684981686,0.2691208791208791,0.8071794871794872,0.15857142857142856,0.485970695970696,0.3212087912087912,0.01777891520014452,0.08156321977509146,0.5411805440558809,0.3645355051409818,0.09428395080313728,0.8047631234287262,0.19523687657127373,0.42896713685700094,0.312372980866214,0.230117271591371
"Alexander County, Illinois",120.0,1.0,0.008333333333333333,2350,6532,73,4063,2169,48,6,0,0,173,6532,3104,3428,460,398,553,352,225,737,664,799,548,468,823,382,123,42.8,235.521,0.036000000000000004,6469,6030,2784,4141,439,2323,291,175,418,286,415,355,182,104,86,11,34709,45672,19065,42702,32449,0.8333333333333334,1.8371096142069807,35.976729944886706,27.734257242453968,Illinois,1,884,701,2122,190,1585,537,221,2469,3389,2638,505,5204,1328,2725,2011,1673,0.011175750153092467,0.6220146968769137,0.3320575627679118,0.007348438456827924,0.0009185548071034905,0.0,0.0,0.026484996938150644,0.47519902020820576,0.5248009797917943,0.07042253521126761,0.06093080220453154,0.08466013472137171,0.05388854868340478,0.03444580526638089,0.11282914880587876,0.10165339865278629,0.12232088181261482,0.0838946723821188,0.07164727495407226,0.1259951010410288,0.05848132271892223,0.018830373545621556,0.9321378883907868,0.06786211160921317,0.12526904864399482,0.07533362031855359,0.17993973310374517,0.12311665949203617,0.17864829961256995,0.15281962978906585,0.07834696513129574,0.04476969436074042,0.03702109341368919,0.004735256134309083,0.3805424020662936,0.3017649591046061,0.9134739560912613,0.08179078777442962,0.6823073611708997,0.2311665949203616,0.033833435394978566,0.37798530312308637,0.5188303735456216,0.4038579301898347,0.07731169626454379,0.7966932026944274,0.20330679730557258,0.4171769748928353,0.3078689528475199,0.2561236987140233
"Bond County, Illinois",499.0,9.0,0.01803607214428857,7700,16712,578,14705,1043,50,196,0,22,118,16712,8587,8125,770,910,880,1168,1161,1993,2178,2297,1240,1196,1584,911,424,41.3,380.339,0.061,15475,14524,11521,5639,951,6218,384,291,635,503,863,1256,933,903,306,144,58097,70131,26356,48807,33409,1.8036072144288573,2.985878410722834,46.07467687888942,43.93974848753349,Illinois,2,1310,1366,4865,1209,2676,2189,190,2007,9060,6317,1335,13793,2919,6882,5715,3691,0.034585926280516995,0.8799066539013882,0.06241024413595021,0.0029918621349928195,0.011728099569171853,0.0,0.0013164193393968406,0.007060794638583054,0.5138224030636668,0.48617759693633317,0.04607467687888942,0.054451890856869314,0.052656773575873624,0.06988989947343227,0.06947103877453327,0.11925562470081379,0.1303255146002872,0.13744614648157014,0.07419818094782192,0.07156534226902825,0.09478219243657253,0.054511728099569175,0.02537099090473911,0.938546042003231,0.06145395799676898,0.06175619170151174,0.046799614023801867,0.10212286908973947,0.0808941781923448,0.13879060791251205,0.20199421035702797,0.1500482470247668,0.1452235445480862,0.049211965262142165,0.023158571888066904,0.21067867481505306,0.21968478610485687,0.7824059183017047,0.19443550981022836,0.43036346091990996,0.3520424573817948,0.011369076112972715,0.12009334609861178,0.5421254188606989,0.3779918621349928,0.07988271900430828,0.8253350885591192,0.1746649114408808,0.4117999042604117,0.3419698420296793,0.22085926280516993
"Boone County, Illinois",1860.0,25.0,0.013440860215053764,21756,53606,11459,39370,1084,153,633,0,59,848,53606,26830,26776,3062,3331,4577,4481,3228,5678,6773,7912,3625,3011,4829,2263,836,38.4,280.762,0.078,53224,49863,39032,17404,3361,18731,876,622,1503,1706,2286,3532,2768,3205,1073,1160,66898,85599,30725,55756,39953,1.3440860215053765,3.469760847666306,40.58500914076782,190.93039656363754,Illinois,3,3001,3992,13293,4278,6993,6300,1060,14236,31130,19377,3099,45678,7928,24357,18310,10103,0.21376338469574302,0.7344327127560347,0.020221616983173527,0.0028541581166287356,0.011808379658993397,0.0,0.0011006230645823228,0.015819124724844234,0.500503674961758,0.499496325038242,0.05712047158900123,0.062138566578368096,0.08538223333208969,0.08359138902361676,0.06021713987240234,0.10592097899488863,0.12634779688840803,0.14759541842331084,0.06762302727306645,0.05616908555012499,0.09008319964183113,0.04221542364660672,0.015595269186285118,0.9368517961821734,0.06314820381782654,0.04676739095616892,0.03320698307618387,0.08024131119534461,0.09107896001281299,0.12204367091986547,0.18856441193742993,0.14777641343227804,0.17110672147776412,0.05728471517804709,0.06192942181410496,0.1602156852276974,0.21312263093267844,0.7096791415300838,0.22839143665581121,0.3733383161603758,0.336340825369708,0.01977390590605529,0.2655672872439652,0.5807185762787748,0.36147073088833337,0.05781069283289184,0.852106107525277,0.14789389247472298,0.45437077939036674,0.3415662425847853,0.18846770883856284
"Brown County, Illinois",107.0,0.0,0.0,2162,6675,286,4933,1343,6,37,0,4,66,6675,4238,2437,275,302,320,278,506,1153,1103,966,504,319,508,287,154,39.0,305.6790000000001,0.08199999999999999,4804,4521,3452,1744,283,2087,78,147,211,160,244,467,352,324,54,50,58762,67824,22279,50643,37708,0.0,1.602996254681648,32.38951310861423,21.836632545905992,Illinois,1,436,404,1659,378,840,819,76,1742,3937,2297,441,5726,949,2834,2573,1114,0.042846441947565546,0.7390262172284644,0.20119850187265917,0.0008988764044943821,0.005543071161048689,0.0,0.000599250936329588,0.009887640449438202,0.6349063670411985,0.3650936329588015,0.04119850187265917,0.045243445692883896,0.04794007490636704,0.04164794007490637,0.07580524344569288,0.17273408239700375,0.1652434456928839,0.1447191011235955,0.07550561797752808,0.047790262172284645,0.07610486891385768,0.04299625468164794,0.02307116104868914,0.9410907577019151,0.05890924229808493,0.037374221370388115,0.07043603258265453,0.10110206037374221,0.07666506947771921,0.1169142309535218,0.22376617153809295,0.16866315285098227,0.1552467656923814,0.025874460948730235,0.023957834211787255,0.20891231432678486,0.19357930043124102,0.794920939147101,0.18112122664111163,0.40249161475802586,0.39242932438907524,0.011385767790262171,0.2609737827715356,0.589812734082397,0.34411985018726593,0.06606741573033707,0.8578277153558053,0.14217228464419476,0.42456928838951313,0.3854681647940075,0.16689138576779025
"Bureau County, Illinois",906.0,16.0,0.017660044150110375,12622,33381,2995,29382,304,46,289,3,25,337,33381,16437,16944,1741,1897,2278,2019,1875,3515,3701,4444,2439,2449,3727,2404,892,44.0,869.084,0.126,33010,31390,23774,13114,1620,13805,665,518,1523,1413,2109,2714,1989,1903,540,431,55940,69674,29126,52252,34993,1.7660044150110374,2.7141188101015548,37.811928941613495,38.40940576515044,Illinois,2,2706,3522,10931,2443,6228,4703,411,3999,17026,13059,3296,26358,7023,13325,10584,8580,0.08972169797190019,0.8802013121236631,0.009106977022857314,0.0013780294179323567,0.008657619603966328,8.987148377819718e-05,0.0007489290314849765,0.010095563344417482,0.49240585962074235,0.5075941403792577,0.052155417752613766,0.05682873490908002,0.06824241334891105,0.0604835085827267,0.05616967736137324,0.1052994218267877,0.11087145382103591,0.13312962463676942,0.07306551631167431,0.0733650879242683,0.1116503400137803,0.07201701566759534,0.02672178784338396,0.9509239624356256,0.04907603756437443,0.04817095255342267,0.037522636725823975,0.11032234697573343,0.10235421948569359,0.15277073524085477,0.19659543643607388,0.14407823252444765,0.13784860557768924,0.039116262223831945,0.03122057225642883,0.19601593625498007,0.25512495472654834,0.79181455994205,0.17696486780152118,0.45114089098152843,0.34067366896052154,0.012312393277613014,0.11979868787633684,0.5100506276025284,0.3912105688864923,0.0987388035109793,0.7896108564752404,0.2103891435247596,0.3991791737814925,0.3170665947694796,0.2570324436056439
"Calhoun County, Illinois",66.0,0.0,0.0,1626,4858,57,4711,17,1,41,0,0,31,4858,2435,2423,254,217,369,331,188,453,511,678,387,357,593,404,116,46.7,253.825,0.079,4777,4640,3261,2112,137,1805,140,137,173,151,215,368,219,305,51,46,54392,66845,27314,54191,45260,0.0,1.3585837793330588,33.470564018114445,19.139170688466464,Illinois,1,450,366,1403,356,816,587,32,147,2323,2015,520,3745,1113,1812,1576,1354,0.011733223548785508,0.9697406340057637,0.003499382461918485,0.0002058460271716756,0.0084396871140387,0.0,0.0,0.006381226842321943,0.5012350761630301,0.49876492383696996,0.052284890901605596,0.0446685878962536,0.0759571840263483,0.06813503499382462,0.03869905310827501,0.09324825030876904,0.10518731988472622,0.13956360642239604,0.07966241251543846,0.07348703170028818,0.12206669411280362,0.08316179497735694,0.02387813915191437,0.9713209127067197,0.028679087293280302,0.07756232686980609,0.07590027700831024,0.09584487534626039,0.08365650969529086,0.11911357340720222,0.20387811634349032,0.12132963988919668,0.16897506925207756,0.028254847645429362,0.02548476454293629,0.24930747922437674,0.2027700831024931,0.7772853185595567,0.19722991689750694,0.4520775623268698,0.325207756232687,0.006587072869493619,0.03025936599423631,0.4781803211198024,0.4147797447509263,0.1070399341292713,0.770893371757925,0.22910662824207492,0.37299300123507617,0.32441333882256074,0.27871552079044876
"Carroll County, Illinois",410.0,11.0,0.02682926829268293,6829,14562,523,13579,163,17,107,0,12,161,14562,7229,7333,770,668,869,812,771,1447,1525,1816,1172,1168,2006,1174,364,47.9,445.043,0.073,14376,13498,10356,5939,878,6476,411,291,727,836,918,1342,898,738,202,113,51228,62739,28053,48193,32568,2.6829268292682933,2.8155473149292685,46.89603076500482,32.720433755839316,Illinois,2,1429,1754,5423,940,3183,2240,190,983,6862,6162,1538,11018,3544,5337,4513,4348,0.03591539623678066,0.9324955363274275,0.01119351737398709,0.0011674220574096966,0.007347891773108089,0.0,0.0008240626287597857,0.011056173602527126,0.49642906194204095,0.503570938057959,0.05287735201208625,0.04587281966762807,0.059675868699354484,0.055761571212745505,0.05294602389781623,0.09936821865128416,0.10472462573822278,0.12470814448564757,0.08048345007553907,0.08020876253261915,0.13775580277434418,0.08062079384699904,0.024996566405713502,0.9389259877573733,0.0610740122426266,0.06346510191476219,0.04493514515132798,0.11226065472513898,0.12909203211859172,0.14175416924027176,0.20722668313773934,0.13866584311303273,0.11395923409512045,0.031192093885114267,0.017449042618900557,0.22066090179122916,0.2708462013588635,0.8373996294008648,0.14515132798023472,0.49150710315009266,0.3458925262507721,0.013047658288696608,0.06750446367257244,0.47122647987913746,0.42315615986815,0.10561736025271254,0.7566268369729433,0.24337316302705672,0.3665018541409147,0.3099162202994094,0.2985853591539624
"Cass County, Illinois",462.0,11.0,0.023809523809523808,5610,12665,2374,9622,505,17,47,1,13,86,12665,6353,6312,820,990,729,811,698,1569,1563,1672,997,697,1101,747,271,39.7,375.751,0.055999999999999994,12520,11628,8581,4945,892,5024,220,252,591,642,684,1084,697,627,106,121,51997,65081,26245,42963,32048,2.380952380952381,3.6478484011054086,44.29530201342282,33.70583178754016,Illinois,3,1063,1326,4170,733,2389,1781,117,3043,7180,4467,1018,10546,2119,5617,4232,2545,0.1874457165416502,0.7597315436241611,0.03987366758784051,0.0013422818791946308,0.0037110146071851558,7.895775759968417e-05,0.0010264508487958942,0.006790367153572839,0.5016186340307935,0.49838136596920646,0.06474536123174102,0.07816818002368733,0.05756020529016976,0.06403474141334387,0.05511251480457955,0.12388472167390446,0.12341097512830636,0.13201737070667194,0.07872088432688512,0.05503355704697987,0.08693249111725226,0.058981444926964076,0.02139755230951441,0.9287539936102236,0.07124600638977636,0.04378980891719745,0.05015923566878981,0.11763535031847133,0.12778662420382167,0.13614649681528662,0.2157643312101911,0.13873407643312102,0.12480095541401273,0.02109872611464968,0.0240843949044586,0.2115843949044586,0.26393312101910826,0.830015923566879,0.14589968152866242,0.4755175159235669,0.3544984076433121,0.009238057639163048,0.24026845637583893,0.5669166995657323,0.35270430319778917,0.08037899723647848,0.8326885116462692,0.16731148835373075,0.443505724437426,0.3341492301618634,0.20094749309119622
"Champaign County, Illinois",6091.0,29.0,0.004761122968313906,755316,209448,12239,141757,27617,268,22278,121,351,4817,209448,104513,104935,11603,10611,10676,21476,33845,30799,22536,20674,10965,11235,14213,7333,3482,29.9,996.1089999999999,0.099,207596,197733,165491,53628,9863,82499,10978,3699,8015,7573,9970,13835,9079,11109,3954,4287,51692,72496,29683,49078,41549,0.4761122968313906,2.9081203926511594,360.622206943967,210.2661455724223,Illinois,2,22692,17543,63149,15063,40235,22914,5557,67691,141546,57087,10815,184420,25028,119010,54175,32781,0.05843455177418739,0.6768123830258584,0.13185611703143502,0.001279553874947481,0.106365303082388,0.0005777090256292732,0.0016758336198006189,0.02299854856575379,0.4989925900462167,0.5010074099537832,0.05539799854856575,0.050661739429357165,0.05097207898857951,0.10253619036706008,0.16159142125969214,0.1470484320690577,0.1075971124097628,0.09870707765173217,0.052351896413429584,0.0536409991978916,0.0678593254650319,0.03501107673503686,0.016624651464802718,0.9524894506637893,0.04751054933621072,0.1330682796155105,0.044836907114025625,0.09715269275991224,0.0917950520612371,0.12084994969635995,0.16769900241215044,0.11004981878568225,0.1346561776506382,0.04792785367095359,0.0519642662335301,0.2750578794894484,0.21264500175759707,0.7654517024448781,0.1825840313215918,0.4877028812470454,0.2777488211978327,0.026531645086131164,0.32318761697414156,0.6758049730720752,0.27255929872808526,0.05163572819983958,0.8805049463351285,0.11949505366487147,0.5682078606623123,0.25865608647492455,0.15651140139796035
