county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density
"Santa Clara County, California",23978.0,388.0,0.016181499708065726,839764,1922200,495455,615912,45379,3003,685265,6231,4743,66212,1922200,970469,951731,118688,119462,124678,113909,121662,304906,280977,269412,120020,101578,138006,75122,33780,37.0,1291.086,0.081,1912773,1821047,1466921,513162,91726,635525,20454,17520,29090,29276,44235,71227,65389,114669,83325,160340,116178,154183,52451,90862,64739,1.6181499708065725,1.2474248257205285,43.6876495682031,1488.824137199226
"San Mateo County, California",10942.0,159.0,0.014531164320965087,285657,765935,189002,303047,16838,1151,212474,10272,2476,30675,765935,377851,388084,44775,46334,43978,40654,42295,111996,110088,108983,51530,47435,66210,33971,17686,39.6,448.636,0.071,762101,725672,597415,211256,36429,261969,7627,6048,11667,12425,18246,30288,28976,47304,32301,67087,113776,162639,57375,79347,65524,1.4531164320965086,1.428580754241548,37.29520128992669,1707.2526502554408
"Santa Barbara County, California",9781.0,120.0,0.012268684183621306,158693,443738,200060,199356,7881,1407,22996,482,604,10952,443738,222208,221530,28356,27457,27240,37445,49425,58974,50124,49960,25886,24096,35041,19841,9893,33.7,2735.139,0.075,436711,390233,278874,161408,46478,144962,6864,5491,10816,11530,16958,23777,18558,23900,11941,15127,71657,101100,34229,48314,41964,1.2268684183621306,2.2042286213937055,35.76276992279227,162.2359960499265
"Tuolumne County, California",269.0,4.0,0.01486988847583643,20986,53932,6527,43364,880,747,732,125,40,1517,53932,28102,25830,2389,2833,2220,2641,2726,6669,5563,6359,4214,4967,7859,3739,1753,48.4,2220.89,0.056,50912,47997,33585,24538,2915,22427,1297,1450,2062,2346,2834,4045,3114,3038,886,1355,56493,80361,33685,54816,44713,1.486988847583643,0.4987762367425647,38.91196321293481,24.28395823296066
"Sierra County, California",6.0,0.0,0.0,641,2930,324,2567,6,25,0,0,0,8,2930,1542,1388,112,111,153,141,83,187,380,254,482,174,516,281,56,55.5,953.168,0.042,2903,2607,1789,1403,296,1241,45,127,145,118,196,139,135,263,48,25,48125,67464,31972,76042,32394,0.0,0.20477815699658702,21.87713310580205,3.0739596797206787
"Placer County, California",4093.0,57.0,0.013926215489860738,101974,380077,52498,278380,5868,1244,27196,576,403,13912,380077,185511,194566,20325,25051,24540,24399,20279,41834,48667,52916,26116,24851,40466,21867,8766,41.9,1407.082,0.054000000000000006,377358,359456,299854,118707,17902,140661,5616,4796,8765,9627,12591,21851,18041,27747,15169,16458,84357,109020,41508,74254,58099,1.3926215489860738,1.0768870518342335,26.829826587770373,270.11716445807707
"San Luis Obispo County, California",4119.0,32.0,0.00776887594076232,114421,281455,63002,194574,4912,1363,9924,258,244,7178,281455,142769,138686,13457,14079,14326,22464,29568,32771,30037,32501,19546,19948,31047,15299,6412,39.1,3300.638,0.077,274891,254176,199736,95173,20715,105317,5649,4287,7915,7435,11870,18392,13799,18862,8158,8950,70699,93008,35832,60306,45221,0.776887594076232,1.4634666287683644,40.65339041765114,85.27290784387746
"Solano County, California",7189.0,74.0,0.01029350396439004,164374,438530,114406,168870,59500,1258,65994,3928,1288,23286,438530,217931,220599,26706,27649,27594,26976,29952,63551,54436,58247,29377,29652,39080,17772,7538,37.9,821.752,0.083,426327,402631,307314,155354,23696,149067,6100,5323,9438,10274,15969,25215,21756,28449,14073,12470,77609,96029,33700,60730,49969,1.029350396439004,1.639340524023442,37.482954415889445,533.6524888287464
"Monterey County, California",11153.0,91.0,0.008159239666457456,156994,433212,252588,131238,10606,1046,23647,1963,530,11594,433212,220967,212245,32318,31786,32230,30473,31877,63216,56042,51701,25456,22598,32072,15291,8152,34.1,3281.7209999999995,0.087,416906,370256,237899,171343,46650,126052,4820,4179,9561,10842,15983,24256,17300,19706,9041,10364,66676,93636,28836,43932,40525,0.8159239666457455,2.574490087993869,36.23953168425621,132.00756554259183
"Yuba County, California",1210.0,10.0,0.008264462809917356,20411,75493,20990,42085,2340,643,4977,292,126,4040,75493,38468,37025,6126,5796,5815,4955,5600,11930,9193,8410,4592,4001,5647,2311,1117,32.5,632.016,0.126,73339,67493,41668,34119,5846,26179,1289,1879,2835,2497,3956,4744,3264,3591,1450,674,52624,67391,23867,44748,38905,0.8264462809917356,1.6027976103744717,27.03694382260607,119.447925368978
