county_state,total_cases,total_fatalities,death_rate,total_tests,sex_age_median_age_in_years,health_ins_noninst_pop_private,health_ins_noninst_pop_public,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,obes_percent,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more
"Santa Clara County, California",23978.0,388.0,0.016181499708065726,839764,37.0,1466921,513162,116178,154183,52451,90862,64739,1.6181499708065725,1.2474248257205285,43.6876495682031,1488.824137199226,0.081,0.257754135885964,0.32042035168036626,0.023607845177400895,0.0015622723962126729,0.35650036416605974,0.003241598168764957,0.002467485173238997,0.03444594735199251,0.5048741025907814,0.4951258974092186,0.061745916137758816,0.06214857975236708,0.06486213713453334,0.059259702424305484,0.06329310165435438,0.15862345229424618,0.14617469566122152,0.14015815211736551,0.06243887212568931,0.05284465716366663,0.07179585891166372,0.039081261055041096,0.01757361356778691,0.9520455380748264,0.04795446192517356,0.03218441446048542,0.0275677589394595,0.04577317965461626,0.046065851068014634,0.06960387081546753,0.11207584280712797,0.10288973683175327,0.18043192636009597,0.1311120726958027,0.25229534636717676
"San Mateo County, California",10942.0,159.0,0.014531164320965087,285657,39.6,597415,211256,113776,162639,57375,79347,65524,1.4531164320965086,1.428580754241548,37.29520128992669,1707.2526502554408,0.071,0.24675984254538572,0.3956562893718135,0.021983588685723983,0.0015027384830305444,0.27740474061114845,0.01341105968522133,0.003232650290168226,0.04004909032750821,0.4933199292368151,0.5066800707631849,0.05845796314308655,0.060493383903333836,0.05741740487117053,0.05307761102443419,0.0552200904776515,0.14622128509599377,0.14373021209371553,0.14228753092625354,0.06727724937494696,0.061930842695528995,0.08644336660421577,0.04435232754737674,0.0230907322422921,0.9521992491808828,0.04780075081911715,0.029114131824757892,0.023086701098221547,0.04453580385465456,0.04742927598303616,0.069649462340964,0.11561673327760155,0.11060850711343709,0.18057098358966137,0.1233008485736862,0.2560875523439796
"Santa Barbara County, California",9781.0,120.0,0.012268684183621306,158693,33.7,278874,161408,71657,101100,34229,48314,41964,1.2268684183621306,2.2042286213937055,35.76276992279227,162.2359960499265,0.075,0.45085162866376105,0.4492651068873975,0.01776048028341048,0.0031707899706583617,0.05182337325178371,0.0010862265571125304,0.0013611635694937103,0.02468123081638264,0.5007639643212887,0.49923603567871133,0.06390257314000604,0.06187660286024636,0.061387575551338856,0.08438538056240394,0.11138329374540833,0.1329027489194074,0.11295854761142836,0.11258896015216185,0.0583362254303215,0.05430231352735172,0.07896776926925347,0.044713321825040904,0.02229468740563125,0.8935726372818638,0.10642736271813626,0.04735034008912681,0.03787889239938742,0.0746126571101392,0.07953808584318649,0.11698238158965799,0.16402229549813055,0.12801975690180875,0.16487079372525212,0.08237331162649522,0.10435148521681543
"Tuolumne County, California",269.0,4.0,0.01486988847583643,20986,48.4,33585,24538,56493,80361,33685,54816,44713,1.486988847583643,0.4987762367425647,38.91196321293481,24.28395823296066,0.056,0.12102276941333531,0.8040495438700586,0.01631684343247052,0.013850775050063043,0.013572647037009567,0.0023177334421122897,0.0007416747014759327,0.028128013053474746,0.5210635615219165,0.47893643847808354,0.04429652154565008,0.05252911073203293,0.04116294593191426,0.04896907216494845,0.05054513090558481,0.12365571460357487,0.10314840910776533,0.11790773566713639,0.0781354298004895,0.09209745605577394,0.14572053697248386,0.0693280427204628,0.03250389379218275,0.9427443431803897,0.057255656819610305,0.05783207740669728,0.06465421144156597,0.0919427475810407,0.10460605520131984,0.1263655415347572,0.18036295536629954,0.1388504927096803,0.13546172024791545,0.03950595264636376,0.060418245864359926
"Sierra County, California",6.0,0.0,0.0,641,55.5,1789,1403,48125,67464,31972,76042,32394,0.0,0.20477815699658702,21.87713310580205,3.0739596797206787,0.042,0.110580204778157,0.8761092150170648,0.0020477815699658703,0.008532423208191127,0.0,0.0,0.0,0.0027303754266211604,0.5262798634812287,0.4737201365187713,0.03822525597269624,0.0378839590443686,0.052218430034129695,0.04812286689419795,0.02832764505119454,0.06382252559726963,0.1296928327645051,0.08668941979522184,0.1645051194539249,0.059385665529010236,0.17610921501706484,0.09590443686006826,0.01911262798634812,0.8980365139510851,0.10196348604891492,0.0362610797743755,0.10233682514101532,0.1168412570507655,0.09508460918614021,0.1579371474617244,0.11200644641418211,0.10878323932312652,0.2119258662369057,0.038678485092667206,0.020145044319097503
"Placer County, California",4093.0,57.0,0.013926215489860738,101974,41.9,299854,118707,84357,109020,41508,74254,58099,1.3926215489860738,1.0768870518342335,26.829826587770373,270.11716445807707,0.054000000000000006,0.13812464316441142,0.7324305338128853,0.015438976838903697,0.003273020993114553,0.07155392196844323,0.0015154823890948413,0.0010603114632035087,0.03660310936994346,0.48808794007530054,0.5119120599246995,0.05347600617769557,0.0659103286965536,0.0645658642853948,0.06419488682556429,0.053354978070233136,0.11006717059964165,0.12804510664944208,0.13922442031483095,0.06871239248889041,0.06538411953367344,0.1064678999255414,0.05753307882350155,0.023063747609037115,0.9525596383275299,0.04744036167247018,0.03992577900057585,0.03409616027185929,0.06231293677707396,0.06844114573335892,0.08951308465032952,0.15534512053803115,0.1282587213228969,0.19726150105572973,0.10784083719012377,0.1170047134600209
"San Luis Obispo County, California",4119.0,32.0,0.00776887594076232,114421,39.1,199736,95173,70699,93008,35832,60306,45221,0.776887594076232,1.4634666287683644,40.65339041765114,85.27290784387746,0.077,0.2238439537403848,0.6913147750084383,0.017452168197402782,0.004842692437512213,0.03525963297862891,0.0009166651862642341,0.0008669236645289655,0.025503188786839815,0.5072533797587536,0.4927466202412464,0.047812261285107745,0.05002220603648896,0.05089978859853263,0.07981382459007656,0.10505409390488711,0.1164342434847489,0.1067204348830186,0.11547494270842586,0.06944627027411131,0.07087456254108117,0.1103089303796344,0.05435682435913379,0.02278161695475298,0.9246428584420734,0.0753571415579266,0.0536380641301974,0.0407056790451684,0.07515405869897547,0.07059638994654234,0.11270735019037763,0.17463467436406277,0.13102348148921827,0.17909739168415356,0.07746137850489475,0.08498153194640941
"Solano County, California",7189.0,74.0,0.01029350396439004,164374,37.9,307314,155354,77609,96029,33700,60730,49969,1.029350396439004,1.639340524023442,37.482954415889445,533.6524888287464,0.083,0.26088523020089843,0.3850819784279297,0.1356805691742868,0.0028686748911134928,0.15048913415273754,0.008957197911203339,0.002937085262125738,0.053100129979704924,0.4969580188356555,0.5030419811643445,0.06089891227510091,0.06304927827058582,0.06292385925706337,0.06151460561421111,0.06830091441862586,0.14491824960664038,0.1241328985474198,0.13282329601167536,0.06698971564089116,0.06761681070850341,0.08911590997195175,0.040526303787654205,0.017189245889676876,0.9444182517175783,0.05558174828242171,0.04092119650895235,0.035708775248713666,0.0633138119100807,0.06892202834966828,0.10712632574614099,0.16915212622512024,0.14594779528668317,0.1908470687677353,0.09440721286401417,0.08365365909289112
"Monterey County, California",11153.0,91.0,0.008159239666457456,156994,34.1,237899,171343,66676,93636,28836,43932,40525,0.8159239666457455,2.574490087993869,36.23953168425621,132.00756554259183,0.087,0.5830586410348744,0.30294174676601754,0.02448223964248451,0.0024145222200677727,0.05458528387948625,0.0045312687552514705,0.001223419480531472,0.026762878221286576,0.5100666648199957,0.48993333518000426,0.07460088824870964,0.07337285209089314,0.07439775444816857,0.07034200345327461,0.07358291090736176,0.14592393562505193,0.12936391420366933,0.11934341615652383,0.05876106848379085,0.052163836643490946,0.07403303694265163,0.03529680618265422,0.018817576613759546,0.888104272905643,0.111895727094357,0.03823818741471773,0.03315298448259448,0.07584964935106146,0.0860121219814045,0.1267968774791356,0.19242852156252974,0.1372449465300035,0.1563323073017485,0.0717243677212579,0.0822200361755466
"Yuba County, California",1210.0,10.0,0.008264462809917356,20411,32.5,41668,34119,52624,67391,23867,44748,38905,0.8264462809917356,1.6027976103744717,27.03694382260607,119.447925368978,0.126,0.2780390234856212,0.5574689044017326,0.0309962513080683,0.0085173459790974,0.06592664220523757,0.0038679082828871553,0.001669028916588293,0.05351489542076749,0.5095571774866544,0.4904428225133456,0.08114659637317367,0.07677533016306147,0.077027009126674,0.06563522445789675,0.07417906295947968,0.15802789662617725,0.12177287960473157,0.11140105705164717,0.060826831626773346,0.05299829123229968,0.0748016372378896,0.030612109732028134,0.014796073808167646,0.9202879777471741,0.07971202225282592,0.04923793880591314,0.07177508690171512,0.10829290652813324,0.09538179456816533,0.151113487910157,0.18121395011268573,0.12468008709270789,0.13717101493563544,0.055387906337140455,0.025745826807746668
