Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Alachua County, Florida",10044,74,0.007367582636399841,110327
"Baker County, Florida",1750,19,0.010857142857142857,9005
"Bay County, Florida",6655,132,0.019834710743801654,39992
"Bradford County, Florida",1221,15,0.012285012285012284,7493
"Brevard County, Florida",11055,366,0.03310719131614654,119049
"Broward County, Florida",83450,1520,0.018214499700419412,643892
"Calhoun County, Florida",702,14,0.019943019943019943,5254
"Charlotte County, Florida",3509,157,0.04474209176403534,39463
"Citrus County, Florida",3162,130,0.041113219481340925,29476
"Clay County, Florida",5948,117,0.019670477471418965,55256
"Collier County, Florida",14087,253,0.017959821111663235,89967
"Columbia County, Florida",4211,71,0.016860603182142008,19229
"DeSoto County, Florida",1652,29,0.017554479418886198,11834
"Dixie County, Florida",885,11,0.012429378531073447,5669
"Duval County, Florida",34260,513,0.014973730297723293,310764
"Escambia County, Florida",13296,269,0.02023164861612515,103324
"Flagler County, Florida",2076,37,0.017822736030828516,23068
"Franklin County, Florida",747,4,0.00535475234270415,5462
"Gadsden County, Florida",3051,55,0.01802687643395608,18259
"Gilchrist County, Florida",602,18,0.029900332225913623,5016
"Glades County, Florida",595,6,0.010084033613445379,1661
"Gulf County, Florida",934,15,0.016059957173447537,6198
"Hamilton County, Florida",901,9,0.009988901220865706,5770
"Hardee County, Florida",1578,16,0.010139416983523447,8700
"Hendry County, Florida",2191,43,0.019625741670470105,10978
"Hernando County, Florida",3609,165,0.0457190357439734,33209
"Highlands County, Florida",2545,110,0.043222003929273084,23622
"Hillsborough County, Florida",46907,759,0.016180953802204363,360281
"Holmes County, Florida",885,12,0.013559322033898305,5750
"Indian River County, Florida",3714,125,0.03365643511039311,41504
"Jackson County, Florida",3100,83,0.026774193548387098,17969
"Jefferson County, Florida",659,9,0.013657056145675266,4275
"Lafayette County, Florida",1272,16,0.012578616352201259,2833
"Lake County, Florida",8445,225,0.02664298401420959,94150
"Lee County, Florida",22711,506,0.022279952445951302,159468
"Leon County, Florida",11991,112,0.009340338587273789,100027
"Levy County, Florida",1120,12,0.010714285714285714,9504
"Liberty County, Florida",532,10,0.018796992481203006,3767
"Madison County, Florida",1073,24,0.022367194780987885,6435
"Manatee County, Florida",12971,327,0.025210084033613446,119440
"Marion County, Florida",10694,345,0.03226108097998878,82658
"Martin County, Florida",5287,164,0.031019481747682997,41839
"Miami-Dade County, Florida",181942,3612,0.01985248046080619,1032525
"Monroe County, Florida",2186,25,0.011436413540713633,20662
"Nassau County, Florida",2429,50,0.02058460271716756,23988
"Okaloosa County, Florida",6146,130,0.021151968760169216,44602
"Okeechobee County, Florida",1714,38,0.022170361726954493,12117
"Orange County, Florida",45042,546,0.01212201944851472,394023
"Osceola County, Florida",13905,194,0.013951815893563466,96373
"Palm Beach County, Florida",50525,1561,0.030895596239485405,415627
"Pasco County, Florida",10600,236,0.022264150943396226,105566
"Pinellas County, Florida",25130,816,0.03247115001989654,249764
"Polk County, Florida",22541,615,0.027283616521006165,157498
"Putnam County, Florida",2355,50,0.021231422505307854,19344
"Santa Rosa County, Florida",5863,86,0.014668258570697595,40906
"Sarasota County, Florida",9392,330,0.035136286201022146,107538
"Seminole County, Florida",10044,236,0.023496614894464356,93718
"St. Johns County, Florida",6280,80,0.012738853503184714,66678
"St. Lucie County, Florida",8893,329,0.03699538963229506,70264
"Sumter County, Florida",2849,84,0.029484029484029485,26820
"Suwannee County, Florida",2972,77,0.025908479138627188,12339
"Taylor County, Florida",1450,16,0.011034482758620689,7170
"Union County, Florida",1118,41,0.03667262969588551,10054
"Volusia County, Florida",12453,316,0.025375411547418292,107162
"Wakulla County, Florida",1300,11,0.008461538461538461,11363
"Walton County, Florida",2357,29,0.01230377598642342,15452
"Washington County, Florida",1216,24,0.019736842105263157,7384
