Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Adams County, Illinois",1862,19,0.01020408163265306,38542
"Alexander County, Illinois",120,1,0.008333333333333333,2350
"Bond County, Illinois",499,9,0.018036072144288578,7700
"Boone County, Illinois",1860,25,0.013440860215053764,21756
"Brown County, Illinois",107,0,0.0,2162
"Bureau County, Illinois",906,16,0.017660044150110375,12622
"Calhoun County, Illinois",66,0,0.0,1626
"Carroll County, Illinois",410,11,0.026829268292682926,6829
"Cass County, Illinois",462,11,0.023809523809523808,5610
"Champaign County, Illinois",6091,29,0.004761122968313906,755316
"Christian County, Illinois",816,29,0.03553921568627451,14312
"Clark County, Illinois",308,17,0.05519480519480519,5606
"Clay County, Illinois",311,13,0.04180064308681672,4513
"Clinton County, Illinois",1755,26,0.014814814814814815,17486
"Coles County, Illinois",1912,39,0.020397489539748955,27794
"Crawford County, Illinois",647,6,0.00927357032457496,5877
"Cumberland County, Illinois",288,6,0.020833333333333332,4627
"De Witt County, Illinois",260,6,0.023076923076923078,5834
"DeKalb County, Illinois",2358,42,0.017811704834605598,44431
"Douglas County, Illinois",672,9,0.013392857142857142,11031
"DuPage County, Illinois",22783,606,0.026598779791950137,419533
"Edgar County, Illinois",155,10,0.06451612903225806,4642
"Edwards County, Illinois",108,0,0.0,1125
"Effingham County, Illinois",1165,4,0.0034334763948497852,14762
"Fayette County, Illinois",680,24,0.03529411764705882,8199
"Ford County, Illinois",196,14,0.07142857142857142,6879
"Franklin County, Illinois",982,9,0.009164969450101833,16107
"Fulton County, Illinois",518,1,0.0019305019305019305,15188
"Gallatin County, Illinois",107,2,0.018691588785046728,1088
"Greene County, Illinois",290,15,0.05172413793103448,4737
"Grundy County, Illinois",965,7,0.007253886010362694,14045
"Hamilton County, Illinois",120,2,0.016666666666666666,2013
"Hancock County, Illinois",309,4,0.012944983818770227,6987
"Hardin County, Illinois",53,0,0.0,1342
"Henderson County, Illinois",128,0,0.0,1883
"Henry County, Illinois",846,7,0.008274231678486997,20732
"Iroquois County, Illinois",492,19,0.03861788617886179,14003
"Jackson County, Illinois",1542,26,0.016861219195849545,22926
"Jasper County, Illinois",264,10,0.03787878787878788,3443
"Jefferson County, Illinois",905,48,0.05303867403314917,12865
"Jersey County, Illinois",473,21,0.04439746300211417,7793
"Jo Daviess County, Illinois",498,7,0.014056224899598393,7365
"Johnson County, Illinois",355,0,0.0,3880
"Kane County, Illinois",16621,347,0.02087720353769328,222374
"Kankakee County, Illinois",3388,80,0.023612750885478158,64994
"Kendall County, Illinois",2670,30,0.011235955056179775,43689
"Knox County, Illinois",1299,16,0.012317167051578136,23808
"Lake County, Illinois",20630,510,0.024721279689772176,319032
"LaSalle County, Illinois",2408,63,0.02616279069767442,39566
"Lawrence County, Illinois",333,8,0.024024024024024024,6602
"Lee County, Illinois",710,2,0.0028169014084507044,10653
"Livingston County, Illinois",632,10,0.015822784810126583,17423
"Logan County, Illinois",590,4,0.006779661016949152,18343
"Macon County, Illinois",3055,52,0.01702127659574468,52726
"Macoupin County, Illinois",807,11,0.013630731102850062,22308
"Madison County, Illinois",7151,154,0.021535449587470282,98208
"Marion County, Illinois",1012,19,0.018774703557312252,18636
"Marshall County, Illinois",156,3,0.019230769230769232,5653
"Mason County, Illinois",305,1,0.003278688524590164,6159
"Massac County, Illinois",154,2,0.012987012987012988,3374
"McDonough County, Illinois",764,20,0.02617801047120419,12678
"McHenry County, Illinois",6310,121,0.01917591125198098,99529
"McLean County, Illinois",4150,34,0.00819277108433735,97930
"Menard County, Illinois",185,1,0.005405405405405406,5945
"Mercer County, Illinois",262,6,0.022900763358778626,6314
"Monroe County, Illinois",920,30,0.03260869565217391,11132
"Montgomery County, Illinois",610,16,0.02622950819672131,17281
"Morgan County, Illinois",896,24,0.026785714285714284,16116
"Moultrie County, Illinois",411,4,0.009732360097323601,7012
"Ogle County, Illinois",1189,7,0.005887300252312868,19650
"Peoria County, Illinois",4544,70,0.015404929577464789,109147
"Perry County, Illinois",438,16,0.0365296803652968,7599
"Piatt County, Illinois",250,0,0.0,10647
"Pike County, Illinois",353,6,0.0169971671388102,5315
"Pope County, Illinois",42,1,0.023809523809523808,787
"Pulaski County, Illinois",235,1,0.00425531914893617,2008
"Putnam County, Illinois",92,0,0.0,1562
"Randolph County, Illinois",1271,15,0.011801730920535013,15703
"Richland County, Illinois",334,16,0.04790419161676647,7889
"Rock Island County, Illinois",4005,90,0.02247191011235955,73141
"Saline County, Illinois",559,9,0.016100178890876567,8267
"Sangamon County, Illinois",3988,63,0.01579739217652959,131583
"Schuyler County, Illinois",90,1,0.011111111111111112,2291
"Scott County, Illinois",106,0,0.0,2744
"Shelby County, Illinois",669,12,0.017937219730941704,8582
"St. Clair County, Illinois",7920,220,0.027777777777777776,105217
"Stark County, Illinois",86,3,0.03488372093023256,2686
"Stephenson County, Illinois",981,7,0.007135575942915392,16768
"Tazewell County, Illinois",2645,56,0.02117202268431002,74083
"Union County, Illinois",780,25,0.03205128205128205,8639
"Vermilion County, Illinois",1718,10,0.005820721769499418,36715
"Wabash County, Illinois",226,5,0.022123893805309734,2984
"Warren County, Illinois",496,8,0.016129032258064516,5446
"Washington County, Illinois",307,2,0.006514657980456026,4053
"Wayne County, Illinois",482,12,0.024896265560165973,5619
"White County, Illinois",269,4,0.01486988847583643,7252
"Whiteside County, Illinois",1400,27,0.019285714285714285,20122
"Will County, Illinois",18356,427,0.023262148616256265,275472
"Williamson County, Illinois",1883,59,0.031332979288369624,31868
"Winnebago County, Illinois",10183,180,0.017676519689678878,133444
"Woodford County, Illinois",618,14,0.022653721682847898,16973
"Cook County, Illinois",175586,5421,0.03087375986695978,2731444
