Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Anderson County, Texas",2941,39,0.013260795647738865,30052
"Andrews County, Texas",584,10,0.017123287671232876,2127
"Angelina County, Texas",2277,90,0.039525691699604744,21193
"Aransas County, Texas",346,18,0.05202312138728324,3639
"Archer County, Texas",137,1,0.0072992700729927005,1082
"Armstrong County, Texas",24,1,0.041666666666666664,324
"Atascosa County, Texas",1270,35,0.027559055118110236,13095
"Austin County, Texas",513,9,0.017543859649122806,7224
"Bailey County, Texas",280,5,0.017857142857142856,1411
"Bandera County, Texas",185,8,0.043243243243243246,3056
"Bastrop County, Texas",1991,31,0.0155700652938222,17306
"Baylor County, Texas",43,2,0.046511627906976744,607
"Bee County, Texas",1846,39,0.02112676056338028,21208
"Bell County, Texas",6327,100,0.0158052789631737,101458
"Bexar County, Texas",52335,1394,0.026636094391898346,552489
"Blanco County, Texas",159,6,0.03773584905660377,2142
"Borden County, Texas",2,0,0.0,30
"Bosque County, Texas",405,11,0.027160493827160494,5432
"Bowie County, Texas",1765,73,0.041359773371104816,35251
"Brazoria County, Texas",12191,182,0.014929046017553934,140041
"Brazos County, Texas",7430,67,0.00901749663526245,79170
"Brewster County, Texas",246,5,0.02032520325203252,3445
"Briscoe County, Texas",22,1,0.045454545454545456,300
"Brooks County, Texas",347,23,0.06628242074927954,5965
"Brown County, Texas",661,28,0.04236006051437216,6999
"Burleson County, Texas",457,6,0.01312910284463895,4754
"Burnet County, Texas",888,15,0.016891891891891893,11904
"Caldwell County, Texas",1689,37,0.021906453522794554,9484
"Calhoun County, Texas",928,9,0.009698275862068966,6492
"Callahan County, Texas",123,4,0.032520325203252036,2028
"Cameron County, Texas",23976,974,0.04062395729062396,123787
"Camp County, Texas",391,13,0.03324808184143223,1919
"Carson County, Texas",53,0,0.0,895
"Cass County, Texas",496,23,0.046370967741935484,6761
"Castro County, Texas",301,7,0.023255813953488372,2329
"Chambers County, Texas",1545,10,0.006472491909385114,4221
"Cherokee County, Texas",1626,36,0.02214022140221402,10804
"Childress County, Texas",120,0,0.0,1843
"Clay County, Texas",107,2,0.018691588785046728,1272
"Cochran County, Texas",99,1,0.010101010101010102,430
"Coke County, Texas",109,5,0.045871559633027525,948
"Coleman County, Texas",88,4,0.045454545454545456,1185
"Collin County, Texas",17611,175,0.009936971211174834,305891
"Collingsworth County, Texas",21,0,0.0,563
"Colorado County, Texas",499,4,0.008016032064128256,6213
"Comal County, Texas",2841,106,0.037310806054206266,36641
"Comanche County, Texas",354,5,0.014124293785310734,3159
"Concho County, Texas",142,2,0.014084507042253521,846
"Cooke County, Texas",539,9,0.016697588126159554,8845
"Coryell County, Texas",1962,13,0.006625891946992864,40169
"Cottle County, Texas",35,3,0.08571428571428572,528
"Crane County, Texas",74,3,0.04054054054054054,2097
"Crockett County, Texas",166,7,0.04216867469879518,1100
"Crosby County, Texas",115,6,0.05217391304347826,1467
"Culberson County, Texas",97,2,0.020618556701030927,626
"Dallam County, Texas",362,10,0.027624309392265192,415
"Dallas County, Texas",92197,1220,0.013232534681171838,919632
"Dawson County, Texas",787,17,0.021601016518424398,5176
"DeWitt County, Texas",1078,44,0.04081632653061224,189284
"Deaf Smith County, Texas",1026,25,0.024366471734892786,4533
"Delta County, Texas",33,0,0.0,2936
"Denton County, Texas",14157,170,0.012008193826375645,841
"Dickens County, Texas",51,2,0.0392156862745098,343
"Dimmit County, Texas",287,7,0.024390243902439025,2526
"Donley County, Texas",85,1,0.011764705882352941,798
"Duval County, Texas",486,21,0.043209876543209874,6844
"Eastland County, Texas",251,6,0.02390438247011952,2713
"Ector County, Texas",3689,95,0.025752236378422336,29109
