Geographic Area Name,sq_mi
"Anderson County, Texas",1062.63
"Andrews County, Texas",1500.721
"Angelina County, Texas",797.7819999999999
"Aransas County, Texas",252.049
"Archer County, Texas",903.289
"Armstrong County, Texas",909.1089999999999
"Atascosa County, Texas",1219.5410000000002
"Austin County, Texas",646.492
"Bailey County, Texas",826.972
"Bandera County, Texas",790.995
"Bastrop County, Texas",888.178
"Baylor County, Texas",867.4810000000001
"Bee County, Texas",880.2389999999999
"Bell County, Texas",1051.289
"Bexar County, Texas",1240.215
"Blanco County, Texas",709.25
"Borden County, Texas",897.443
"Bosque County, Texas",982.9810000000001
"Bowie County, Texas",885.002
"Brazoria County, Texas",1362.305
"Brazos County, Texas",585.513
"Brewster County, Texas",6183.762
"Briscoe County, Texas",900.0010000000001
"Brooks County, Texas",943.355
"Brown County, Texas",944.452
"Burleson County, Texas",659.034
"Burnet County, Texas",994.265
"Caldwell County, Texas",545.234
"Calhoun County, Texas",506.839
"Callahan County, Texas",899.372
"Cameron County, Texas",891.049
"Camp County, Texas",195.847
"Carson County, Texas",920.235
"Cass County, Texas",936.957
"Castro County, Texas",894.444
"Chambers County, Texas",597.153
"Cherokee County, Texas",1052.955
"Childress County, Texas",696.5110000000001
"Clay County, Texas",1088.758
"Cochran County, Texas",775.082
"Coke County, Texas",911.635
"Coleman County, Texas",1262.914
"Collin County, Texas",841.2760000000001
"Collingsworth County, Texas",918.441
"Colorado County, Texas",960.284
"Comal County, Texas",559.512
"Comanche County, Texas",937.753
"Concho County, Texas",983.755
"Cooke County, Texas",874.81
"Coryell County, Texas",1052.1989999999998
"Cottle County, Texas",900.564
"Crane County, Texas",785.069
"Crockett County, Texas",2807.324
"Crosby County, Texas",900.199
"Culberson County, Texas",3812.156
"Dallam County, Texas",1503.132
"Dallas County, Texas",872.056
"Dawson County, Texas",900.306
"Deaf Smith County, Texas",1496.8220000000001
"Delta County, Texas",256.832
"Denton County, Texas",878.6010000000001
"DeWitt County, Texas",908.9760000000001
"Dickens County, Texas",901.7239999999999
"Dimmit County, Texas",1328.885
"Donley County, Texas",926.9060000000001
"Duval County, Texas",1793.477
"Eastland County, Texas",926.505
"Ector County, Texas",897.811
"Edwards County, Texas",2117.871
"Ellis County, Texas",935.66
"El Paso County, Texas",1013.186
"Erath County, Texas",1083.178
"Falls County, Texas",765.465
"Fannin County, Texas",890.835
"Fayette County, Texas",949.87
"Fisher County, Texas",898.951
"Floyd County, Texas",992.143
"Foard County, Texas",704.3969999999999
"Fort Bend County, Texas",861.582
"Franklin County, Texas",284.39099999999996
"Freestone County, Texas",877.7310000000001
"Frio County, Texas",1133.501
"Gaines County, Texas",1502.364
"Galveston County, Texas",378.93699999999995
"Garza County, Texas",893.414
"Gillespie County, Texas",1058.198
"Glasscock County, Texas",900.2180000000001
"Goliad County, Texas",852.0110000000001
"Gonzales County, Texas",1066.6860000000001
"Gray County, Texas",925.9739999999999
"Grayson County, Texas",932.831
"Gregg County, Texas",273.38
"Grimes County, Texas",787.467
"Guadalupe County, Texas",711.252
"Hale County, Texas",1004.68
"Hall County, Texas",883.492
"Hamilton County, Texas",835.915
"Hansford County, Texas",919.81
"Hardeman County, Texas",695.1139999999999
"Hardin County, Texas",890.587
"Harris County, Texas",1705.203
"Harrison County, Texas",899.956
"Hartley County, Texas",1461.951
"Haskell County, Texas",903.133
"Hays County, Texas",677.987
"Hemphill County, Texas",906.2860000000001
"Henderson County, Texas",873.773
"Hidalgo County, Texas",1570.899
"Hill County, Texas",958.855
"Hockley County, Texas",908.3919999999999
"Hood County, Texas",420.704
"Hopkins County, Texas",767.2919999999999
"Houston County, Texas",1231.005
"Howard County, Texas",900.791
"Hudspeth County, Texas",4570.525
"Hunt County, Texas",840.34
"Hutchinson County, Texas",887.42
"Irion County, Texas",1051.5439999999999
"Jack County, Texas",910.94
"Jackson County, Texas",829.443
"Jasper County, Texas",938.655
"Jeff Davis County, Texas",2264.556
"Jefferson County, Texas",876.372
"Jim Hogg County, Texas",1136.173
"Jim Wells County, Texas",865.17
"Johnson County, Texas",724.8
"Jones County, Texas",928.57
"Karnes County, Texas",747.497
"Kaufman County, Texas",780.675
"Kendall County, Texas",662.454
"Kenedy County, Texas",1458.453
"Kent County, Texas",902.507
"Kerr County, Texas",1103.326
"Kimble County, Texas",1250.985
"King County, Texas",910.872
"Kinney County, Texas",1360.055
"Kleberg County, Texas",881.306
"Knox County, Texas",850.625
"Lamar County, Texas",907.181
"Lamb County, Texas",1016.181
"Lampasas County, Texas",712.841
"La Salle County, Texas",1486.704
"Lavaca County, Texas",969.709
"Lee County, Texas",629.04
"Leon County, Texas",1073.156
"Liberty County, Texas",1158.385
"Limestone County, Texas",905.43
"Lipscomb County, Texas",932.186
"Live Oak County, Texas",1039.695
"Llano County, Texas",934.052
"Loving County, Texas",668.818
"Lubbock County, Texas",895.6039999999999
"Lynn County, Texas",891.867
"McCulloch County, Texas",1065.601
"McLennan County, Texas",1037.122
"McMullen County, Texas",1139.799
"Madison County, Texas",466.065
"Marion County, Texas",380.884
"Martin County, Texas",914.956
"Mason County, Texas",928.836
"Matagorda County, Texas",1092.896
"Maverick County, Texas",1279.472
"Medina County, Texas",1325.359
"Menard County, Texas",902.0269999999999
"Midland County, Texas",900.2539999999999
"Milam County, Texas",1016.915
"Mills County, Texas",748.215
"Mitchell County, Texas",911.09
"Montague County, Texas",930.9060000000001
"Montgomery County, Texas",1042.623
"Moore County, Texas",899.698
"Morris County, Texas",251.989
"Motley County, Texas",989.566
"Nacogdoches County, Texas",946.557
"Navarro County, Texas",1009.632
"Newton County, Texas",933.677
"Nolan County, Texas",911.997
"Nueces County, Texas",838.316
"Ochiltree County, Texas",917.685
"Oldham County, Texas",1500.523
"Orange County, Texas",333.781
"Palo Pinto County, Texas",952.549
"Panola County, Texas",811.355
"Parker County, Texas",903.482
"Parmer County, Texas",880.82
"Pecos County, Texas",4763.835
"Polk County, Texas",1057.045
"Potter County, Texas",908.39
"Presidio County, Texas",3855.252
"Rains County, Texas",229.453
"Randall County, Texas",911.926
"Reagan County, Texas",1175.3139999999999
"Real County, Texas",699.159
"Red River County, Texas",1043.876
"Reeves County, Texas",2635.3540000000003
"Refugio County, Texas",770.4839999999999
"Roberts County, Texas",924.058
"Robertson County, Texas",855.1080000000001
"Rockwall County, Texas",127.11
"Runnels County, Texas",1051.07
"Rusk County, Texas",924.0369999999999
"Sabine County, Texas",491.70300000000003
"San Augustine County, Texas",530.6569999999999
"San Jacinto County, Texas",569.243
"San Patricio County, Texas",693.436
"San Saba County, Texas",1135.313
"Schleicher County, Texas",1310.642
"Scurry County, Texas",905.445
"Shackelford County, Texas",914.2860000000001
"Shelby County, Texas",795.5889999999999
"Sherman County, Texas",923.0360000000001
"Smith County, Texas",921.4730000000001
"Somervell County, Texas",186.46400000000003
"Starr County, Texas",1223.1789999999999
"Stephens County, Texas",896.721
"Sterling County, Texas",923.449
"Stonewall County, Texas",916.313
"Sutton County, Texas",1453.935
"Swisher County, Texas",890.16
"Tarrant County, Texas",863.6460000000001
"Taylor County, Texas",915.5360000000001
"Terrell County, Texas",2358.0170000000003
"Terry County, Texas",888.8389999999999
"Throckmorton County, Texas",912.552
"Titus County, Texas",406.05699999999996
"Tom Green County, Texas",1522.001
"Travis County, Texas",991.8489999999999
"Trinity County, Texas",693.797
"Tyler County, Texas",924.39
"Upshur County, Texas",582.98
"Upton County, Texas",1241.323
"Uvalde County, Texas",1551.921
"Val Verde County, Texas",3144.75
"Van Zandt County, Texas",842.566
"Victoria County, Texas",882.1060000000001
"Walker County, Texas",784.222
"Waller County, Texas",513.337
"Ward County, Texas",835.6030000000001
"Washington County, Texas",604.184
"Webb County, Texas",3361.478
"Wharton County, Texas",1086.151
"Wheeler County, Texas",914.523
"Wichita County, Texas",627.594
"Wilbarger County, Texas",970.946
"Willacy County, Texas",590.591
"Williamson County, Texas",1118.338
"Wilson County, Texas",803.735
"Winkler County, Texas",841.2689999999999
"Wise County, Texas",904.3939999999999
"Wood County, Texas",645.245
"Yoakum County, Texas",799.715
"Young County, Texas",914.498
"Zapata County, Texas",998.4119999999999
"Zavala County, Texas",1297.407
