county_name,total_cases,total_fatalities,death_rate,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density
Anderson,2922.0,39,0.013347022587268994,57863,10142,34312,12127,158,319,9,15,781,57863,35412,22451,2991,2985,3276,3040,3562,8821,9905,8259,3227,3598,4859,2481,859,39.1,1062.63,44353,38116,27169,16504,6237,16459,969,1221,2263,2150,2671,3246,1845,1432,422,240,43355,55852,16868,26621,36865,26890,54.45263167800645
Andrews,567.0,10,0.01763668430335097,17818,9979,7215,321,0,63,21,0,219,17818,9102,8716,1551,1634,1449,1461,1113,2680,2193,2134,899,861,1043,563,237,31.2,1500.721,17725,14496,11313,4332,3229,5508,302,171,291,525,686,841,728,1214,398,352,74233,94962,31190,40478,72970,35194,11.872959730689447
Angelina,2277.0,90,0.039525691699604744,87607,19174,53216,12834,107,987,5,163,1121,87607,42659,44948,6011,6477,6320,6025,5531,11212,10568,11220,5567,5049,7768,3918,1941,37.2,797.7819999999997,85457,69027,46576,31836,16430,30783,2572,1674,4093,3682,4071,5797,4013,3257,985,639,47714,61152,22322,27411,41488,32622,109.81320711673115
Aransas,340.0,18,0.052941176470588235,24763,6756,16691,365,14,488,0,33,416,24763,12026,12737,1207,1244,1379,1351,1446,2010,2483,3240,1820,2002,3829,2119,633,49.6,252.049,24388,19385,13508,10606,5003,9432,836,526,1162,1141,1409,1443,896,1047,476,496,44865,75471,30939,21567,43182,32005,98.24676947736351
Archer,133.0,1,0.007518796992481203,8789,727,7772,76,27,47,0,0,140,8789,4326,4463,430,448,638,563,529,881,976,1282,656,692,908,589,197,44.5,903.289,8723,7727,6429,2718,996,3332,125,199,289,393,345,550,462,626,198,145,64476,80073,31806,32469,49105,37377,9.72999781908116
Armstrong,21.0,1,0.047619047619047616,1916,131,1737,7,29,0,0,0,12,1916,960,956,121,94,106,100,82,197,206,271,209,130,232,111,57,46.3,909.1089999999999,1853,1712,1378,585,141,708,16,37,38,60,67,195,94,128,52,21,66563,79808,31075,37292,55250,40625,2.1075580595946137
Atascosa,1265.0,35,0.02766798418972332,48828,31200,16541,124,29,152,0,12,770,48828,24398,24430,3584,3628,4029,3633,3038,6308,6070,5901,2874,2842,4094,2090,737,35.4,1219.5410000000004,48397,40732,30168,15883,7665,15387,1014,484,1771,1676,1941,3068,1887,2088,836,622,55265,73390,24421,27043,46273,29942,40.03801430210217
Austin,509.0,9,0.01768172888015717,29565,7819,18525,2576,48,89,0,52,456,29565,14684,14881,1780,1960,2118,1861,1712,3339,3275,3821,2327,1978,3243,1532,619,40.7,646.492,29298,25749,20393,8863,3549,11041,482,459,1255,927,1186,1851,1651,2150,551,529,65365,80769,30858,33993,55417,38603,45.7314243641066
Bailey,264.0,5,0.01893939393939394,7092,4558,2346,46,72,70,0,0,0,7092,3640,3452,491,655,408,550,581,940,926,715,366,460,494,416,90,33.5,826.972,6895,5474,3638,2624,1421,2111,119,109,174,393,381,322,251,201,110,51,46485,62434,21449,28543,40411,28184,8.575864720933719
Bandera,184.0,8,0.043478260869565216,21763,4010,17032,172,88,59,0,17,385,21763,11032,10731,864,880,1252,1033,1056,1924,2087,2925,1873,2236,3472,1713,448,52.1,790.995,21584,17769,13852,8464,3815,8242,436,453,810,670,1382,1670,1022,1073,337,389,53683,70305,28539,27075,47575,37390,27.513448251885286
Bastrop,1949.0,31,0.01590559261159569,82577,30389,43757,6097,358,704,0,434,838,82577,42014,40563,5457,5301,6600,5916,4875,9376,10342,11192,5920,5873,7595,2948,1182,38.6,888.178,80461,67320,52501,25824,13141,25345,1363,986,2046,2380,3185,4692,3442,4312,1942,997,62941,78710,26540,32184,46446,37013,92.97348054106271
Baylor,43.0,2,0.046511627906976744,3591,370,3050,112,0,0,0,0,59,3591,1752,1839,178,264,208,176,236,272,354,467,348,216,438,335,99,47.3,867.4810000000001,3517,3058,2385,1282,459,1474,78,144,156,249,221,177,202,161,25,61,40750,60098,25264,28344,41719,34821,4.139571932987581
Bee,1845.0,39,0.02113821138211382,32691,19152,10392,2535,186,141,4,13,268,32691,19911,12780,1924,1870,1998,1938,2720,5676,4790,4387,2031,1478,2223,1157,499,35.4,880.2389999999997,25061,20059,13592,9245,5002,8537,1002,575,1104,924,1411,1469,668,827,286,271,42032,60273,17390,23636,46326,28808,37.13877708213338
