county_name,total_cases,total_fatalities,death_rate
Anderson,2922.0,39,0.013347022587268994
Andrews,567.0,10,0.01763668430335097
Angelina,2277.0,90,0.039525691699604744
Aransas,340.0,18,0.052941176470588235
Archer,133.0,1,0.007518796992481203
Armstrong,21.0,1,0.047619047619047616
Atascosa,1265.0,35,0.02766798418972332
Austin,509.0,9,0.01768172888015717
Bailey,264.0,5,0.01893939393939394
Bandera,184.0,8,0.043478260869565216
Bastrop,1949.0,31,0.01590559261159569
Baylor,43.0,2,0.046511627906976744
Bee,1845.0,39,0.02113821138211382
Bell,6158.0,96,0.015589477102955504
Bexar,51876.0,1386,0.026717557251908396
Blanco,153.0,6,0.0392156862745098
Borden,2.0,0,0.0
Bosque,385.0,10,0.025974025974025976
Bowie,1730.0,72,0.04161849710982659
Brazoria,12060.0,181,0.015008291873963516
Brazos,7337.0,66,0.008995502248875561
Brewster,246.0,5,0.02032520325203252
Briscoe,20.0,1,0.05
Brooks,341.0,23,0.06744868035190615
Brown,640.0,28,0.04375
Burleson,421.0,6,0.014251781472684086
Burnet,854.0,13,0.01522248243559719
Caldwell,1675.0,37,0.02208955223880597
Calhoun,880.0,9,0.010227272727272727
Callahan,112.0,4,0.03571428571428571
Cameron,23871.0,970,0.040635080222864564
Camp,388.0,13,0.03350515463917526
Carson,52.0,0,0.0
Cass,477.0,22,0.04612159329140461
Castro,289.0,6,0.020761245674740483
Chambers,1524.0,8,0.005249343832020997
Cherokee,1616.0,32,0.019801980198019802
Childress,107.0,0,0.0
Clay,103.0,2,0.019417475728155338
Cochran,90.0,1,0.011111111111111112
Coke,90.0,5,0.05555555555555555
Coleman,85.0,4,0.047058823529411764
Collin,17122.0,174,0.010162364209788576
Collingsworth,20.0,0,0.0
Colorado,498.0,4,0.008032128514056224
Comal,2823.0,106,0.0375487070492384
Comanche,348.0,5,0.014367816091954023
Concho,141.0,2,0.014184397163120567
Cooke,524.0,8,0.015267175572519083
Coryell,1937.0,13,0.006711409395973154
Cottle,33.0,3,0.09090909090909091
Crane,73.0,2,0.0273972602739726
Crockett,166.0,7,0.04216867469879518
Crosby,108.0,6,0.05555555555555555
Culberson,88.0,2,0.022727272727272728
Dallam,332.0,10,0.030120481927710843
Dallas,90790.0,1211,0.013338473400154201
Dawson,762.0,16,0.02099737532808399
Deaf Smith,988.0,42,0.04251012145748988
Delta,32.0,25,0.78125
Denton,13773.0,0,0.0
DeWitt,1072.0,166,0.15485074626865672
Dickens,51.0,2,0.0392156862745098
Dimmit,283.0,7,0.024734982332155476
Donley,84.0,1,0.011904761904761904
Duval,471.0,21,0.044585987261146494
Eastland,235.0,6,0.02553191489361702
Ector,3604.0,93,0.025804661487236404
Edwards,68.0,2,0.029411764705882353
Ellis,4796.0,581,0.12114261884904087
El Paso,34760.0,75,0.00215765247410817
Erath,991.0,13,0.013118062563067608
Falls,639.0,5,0.00782472613458529
Fannin,755.0,16,0.02119205298013245
Fayette,510.0,22,0.043137254901960784
Fisher,91.0,3,0.03296703296703297
Floyd,121.0,9,0.0743801652892562
Foard,20.0,0,0.0
Fort Bend,17238.0,305,0.017693467919712262
Franklin,183.0,7,0.03825136612021858
Freestone,440.0,4,0.00909090909090909
Frio,1008.0,9,0.008928571428571428
Gaines,493.0,10,0.02028397565922921
Galveston,12172.0,168,0.013802168912257641
Garza,121.0,5,0.04132231404958678
Gillespie,351.0,10,0.02849002849002849
Glasscock,12.0,0,0.0
Goliad,157.0,6,0.03821656050955414
Gonzales,1110.0,20,0.018018018018018018
Gray,408.0,10,0.024509803921568627
Grayson,2340.0,64,0.02735042735042735
Gregg,2470.0,84,0.0340080971659919
Grimes,1157.0,35,0.03025064822817632
Guadalupe,3806.0,79,0.02075669994745139
Hale,2407.0,60,0.024927295388450354
Hall,41.0,1,0.024390243902439025
Hamilton,182.0,4,0.02197802197802198
Hansford,187.0,6,0.03208556149732621
Hardeman,60.0,1,0.016666666666666666
Hardin,1416.0,34,0.02401129943502825
Harris,155192.0,2759,0.017777978246301354
Harrison,1042.0,38,0.036468330134357005
Hartley,168.0,0,0.0
Haskell,78.0,3,0.038461538461538464
Hays,6212.0,74,0.011912427559562138
Hemphill,133.0,0,0.0
Henderson,1203.0,31,0.025768911055694097
Hidalgo,34343.0,1659,0.04830678740937018
Hill,762.0,16,0.02099737532808399
Hockley,519.0,12,0.023121387283236993
Hood,1130.0,37,0.03274336283185841
Hopkins,589.0,26,0.044142614601018676
Houston,415.0,12,0.02891566265060241
