county_state,race_pop,race_pop_hispanic_or_latino_(of_any_race),race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,pop_density
"Austin County, Texas",29565,7819,18525,2576,48,89,0,52,456,29565,14684,14881,1780,1960,2118,1861,1712,3339,3275,3821,2327,1978,3243,1532,619,40.7,646.492,45.731424364106594
"Kenedy County, Texas",595,522,72,0,0,1,0,0,0,595,286,309,85,37,40,10,10,95,47,75,51,9,85,29,22,39.5,1458.453,0.40796652343270573
"Nueces County, Texas",360486,228462,107652,13071,919,7134,242,226,2780,360486,178020,182466,24665,25055,24806,25524,26397,52547,45030,43503,22563,21051,28881,15165,5299,35.3,838.316,430.0120718201728
"Colorado County, Texas",21022,6200,11855,2655,27,7,0,0,278,21022,10538,10484,1363,1288,1493,1397,1145,2054,2233,2440,1280,1866,2467,1356,640,42.5,960.284,21.89144044886721
"San Patricio County, Texas",67046,38483,26032,1003,101,671,30,7,719,67046,33721,33325,4947,4887,5259,4824,4393,8923,8328,8078,4417,3367,5759,2935,929,35.3,693.436,96.68664447764465
"Rains County, Texas",11473,1019,9814,322,69,8,0,0,241,11473,5868,5605,566,652,697,578,507,1126,1243,1429,1088,766,1764,917,140,48.3,229.453,50.00152536685073
"Randall County, Texas",132475,27678,96014,3726,410,2162,64,72,2349,132475,65083,67392,8654,9438,8475,9750,9207,19349,16814,15641,8242,7991,11020,5821,2073,35.6,911.926,145.26946265376796
"Real County, Texas",3389,672,2709,5,0,2,0,0,1,3389,1426,1963,228,193,121,217,190,252,260,234,301,276,529,476,112,55.0,699.159,4.847252198713026
"San Saba County, Texas",5962,1790,3846,134,0,3,0,0,189,5962,3073,2889,315,239,455,273,441,760,769,594,376,398,746,475,121,40.7,1135.313,5.251415248482136
"Schleicher County, Texas",3061,1603,1444,13,0,0,0,0,1,3061,1542,1519,187,252,273,174,174,471,290,344,187,224,281,147,57,35.0,1310.642,2.3354966497334892
"Sterling County, Texas",1141,516,606,3,0,0,0,0,16,1141,622,519,69,109,63,94,24,106,109,205,157,46,100,41,18,44.9,923.449,1.2355852894962256
"Zavala County, Texas",12131,11372,602,60,0,4,0,0,93,12131,6208,5923,925,1115,977,783,1182,1479,1420,1354,666,565,954,543,168,32.9,1297.407,9.350188491352368
"Calhoun County, Texas",21807,10564,9314,528,3,998,17,0,383,21807,11062,10745,1488,1533,1503,1580,1228,2795,2530,2732,1646,1103,2076,1041,552,37.7,506.839,43.025497248633194
"Carson County, Texas",6032,600,5186,78,79,31,0,0,58,6032,2820,3212,365,435,455,465,280,704,706,739,431,395,596,336,125,40.3,920.235,6.5548474031089885
"Foard County, Texas",1408,288,1095,25,0,0,0,0,0,1408,712,696,62,65,87,100,47,87,181,214,104,82,162,160,57,49.3,704.3969999999998,1.9988727947450093
"Freestone County, Texas",19709,2984,13225,3103,12,113,0,0,272,19709,10163,9546,1153,1358,1204,1188,952,2634,2473,2348,1413,1199,2132,1238,417,40.4,877.7310000000001,22.454487764474536
"Goliad County, Texas",7531,2699,4396,372,0,43,0,0,21,7531,3734,3797,312,526,530,395,511,672,756,994,684,536,841,683,91,46.0,852.0110000000002,8.83908775825664
"Hamilton County, Texas",8269,1019,7004,42,62,24,0,0,118,8269,4070,4199,469,502,454,513,406,832,893,929,641,548,1050,599,433,46.0,835.915,9.892154106577822
"Hardeman County, Texas",3952,851,2693,271,41,0,0,0,96,3952,1938,2014,196,291,307,199,237,465,401,530,225,302,457,219,123,42.4,695.1139999999998,5.685398366311139
"Mitchell County, Texas",8558,3381,4159,847,53,30,0,0,88,8558,5383,3175,446,474,401,486,982,1619,1153,927,434,338,639,443,216,34.1,911.09,9.393144475298817
"Briscoe County, Texas",1546,545,885,38,0,0,17,0,61,1546,831,715,82,67,74,93,134,150,149,215,118,100,182,149,33,46.3,900.0010000000002,1.7177758691379228
"Lavaca County, Texas",19941,3694,14734,1255,9,71,0,2,176,19941,9684,10257,1189,1405,1388,1193,1034,2062,1939,2394,1318,1470,2356,1483,710,43.5,969.709,20.56390112910162
"Terry County, Texas",12615,6859,5071,584,28,0,0,0,73,12615,6515,6100,1008,1006,928,913,731,1824,1406,1500,724,654,1063,642,216,34.7,888.8389999999998,14.192671563691516
"Jeff Davis County, Texas",2234,727,1422,18,0,51,0,0,16,2234,1114,1120,61,108,160,142,57,138,202,251,177,232,541,131,34,54.8,2264.556,0.9865068472583588
"Jim Hogg County, Texas",5282,4890,371,2,0,0,0,0,19,5282,2550,2732,412,366,514,539,303,525,569,398,350,374,522,328,82,34.7,1136.173,4.648939906158657
"Montgomery County, Texas",554445,131147,370662,25296,805,15610,299,684,9942,554445,274604,279841,37835,41459,42853,38640,32889,70249,76216,76447,37260,31124,43917,18995,6561,36.9,1042.623,531.7789843500478
"Dallam County, Texas",7243,3260,3655,63,85,107,0,0,73,7243,3795,3448,692,634,663,581,294,1143,680,1027,454,324,422,255,74,31.6,1503.132,4.818605418552728
"Webb County, Texas",272053,259797,9513,780,118,1295,33,132,385,272053,132906,139147,26546,23862,25976,24233,21883,36453,35572,30398,12160,10584,14333,6922,3131,28.6,3361.478,80.93255407294053
"Armstrong County, Texas",1916,131,1737,7,29,0,0,0,12,1916,960,956,121,94,106,100,82,197,206,271,209,130,232,111,57,46.3,909.109,2.107558059594614
"Castro County, Texas",7787,5003,2523,70,11,92,1,4,83,7787,3905,3882,604,765,574,595,532,785,963,856,477,485,678,324,149,35.3,894.444,8.70596705886562
"Kleberg County, Texas",31425,22849,6419,907,16,695,0,64,475,31425,16052,15373,2222,2295,1915,2953,4777,4366,3270,2828,1301,1461,2274,1283,480,28.0,881.306,35.65730858521331
"Willacy County, Texas",21754,19170,2412,129,2,0,0,0,41,21754,11681,10073,1398,1390,1621,1734,2011,3260,3018,2266,1028,1122,1612,981,313,33.6,590.591,36.834289719958484
"Crosby County, Texas",5861,3261,2330,210,0,14,0,3,43,5861,2921,2940,400,393,534,454,327,643,725,580,391,356,560,374,124,38.1,900.199,6.51078261584383
"Fisher County, Texas",3883,1185,2492,114,0,23,5,0,64,3883,1879,2004,262,183,206,256,258,393,431,455,269,278,488,316,88,44.4,898.951,4.319479037233397
