county_state,sex_age_median_age_in_years,health_ins_noninst_pop_private,health_ins_noninst_pop_public,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more
"Austin County, Texas",40.7,20393,8863,65365,80769,30858,33993,55417,38603,45.731424364106594,0.26446812108912565,0.6265854895991883,0.08713005242685608,0.0016235413495687468,0.003010316252325385,0.0,0.001758836462032809,0.015423642820903095,0.49666835785557245,0.5033316421444275,0.06020632504650769,0.06629460510739049,0.07163876204972096,0.06294605107390495,0.05790630813461864,0.11293759512937596,0.11077287332995095,0.12924065618129546,0.0787079316759682,0.06690343311347878,0.10969051243023846,0.05181802807373584,0.02093691865381363,0.8788654515666598,0.12113454843334016,0.04365546599039942,0.041572321347704014,0.11366724028620596,0.08395978625124535,0.10741780635811973,0.16764785798387827,0.14953355674304863,0.19472873833891857,0.049904899918485644,0.047912326781994384
"Kenedy County, Texas",39.5,212,276,36125,40908,15820,29453,40848,23295,0.40796652343270573,0.8773109243697479,0.12100840336134454,0.0,0.0,0.0016806722689075631,0.0,0.0,0.0,0.48067226890756304,0.519327731092437,0.14285714285714285,0.06218487394957983,0.06722689075630252,0.01680672268907563,0.01680672268907563,0.15966386554621848,0.07899159663865546,0.12605042016806722,0.08571428571428572,0.015126050420168067,0.14285714285714285,0.04873949579831933,0.03697478991596639,0.7848739495798319,0.21512605042016808,0.11961722488038277,0.019138755980861243,0.23444976076555024,0.06220095693779904,0.3397129186602871,0.07655502392344497,0.11004784688995216,0.03827751196172249,0.0,0.0
"Nueces County, Texas",35.3,208747,119691,55048,74820,27649,30869,48043,34488,430.0120718201728,0.6337610891962517,0.2986301825868411,0.03625938316605915,0.002549336173942955,0.019789950233850967,0.0006713159456955333,0.0006269314203602913,0.007711811276998275,0.49383332501123484,0.5061666749887652,0.06842151983710879,0.06950339264215531,0.06881265846662561,0.0708044140410446,0.07322614470464872,0.14576710329943465,0.12491469849037133,0.12067875035368919,0.06259050282119138,0.05839616517701104,0.08011684226294502,0.04206820791930893,0.014699599984465416,0.8296581751539631,0.17034182484603688,0.06917921908691808,0.05385259761413524,0.10222918573445232,0.10022803778911935,0.13089679350945504,0.18142965732280533,0.12615764081721298,0.14115073763244032,0.05004421140809456,0.0448319190853668
"Colorado County, Texas",42.5,13815,6868,49504,70324,27861,30469,41853,34692,21.89144044886721,0.29492912187232423,0.5639330225478071,0.12629626105984207,0.0012843687565407668,0.0003329844924364951,0.0,0.0,0.013224241271049377,0.5012843687565408,0.49871563124345925,0.06483683759870612,0.061269146608315096,0.07102083531538389,0.06645419084768338,0.05446674911996956,0.0977071639235087,0.10622205308724193,0.11606888022072115,0.06088859290267339,0.08876415184092855,0.11735324897726192,0.06450385310626962,0.030444296451336696,0.8639327633676279,0.1360672366323721,0.051391292770603114,0.05072560244974038,0.11902542937025695,0.11862601517773931,0.16562375183064837,0.17907069631207562,0.12448409000133139,0.09026760750898682,0.05698309146585009,0.04380242311276794
"San Patricio County, Texas",35.3,39263,21923,55229,71588,25281,31318,50594,31847,96.68664447764465,0.5739790591534171,0.38827073949228885,0.014959878292515586,0.0015064284222772424,0.01000805417176267,0.00044745398681502255,0.00010440593025683859,0.010723980550666706,0.5029531963129792,0.49704680368702087,0.07378516242579722,0.07289025445216717,0.07843868388867345,0.07195060107985563,0.06552217880261313,0.13308773081168154,0.12421322673985025,0.12048444351639173,0.06588014199206516,0.05021925245353936,0.0858962503355905,0.04377591504340304,0.013856158458371863,0.8261459999396445,0.1738540000603555,0.07348298083992907,0.04619177371220968,0.1035854850568747,0.09277280394446608,0.1321309631936335,0.19328748756541672,0.1266381211885299,0.13459625448726267,0.06414082435880801,0.03317330565286969
"Rains County, Texas",48.3,6240,4688,49872,65103,26165,33163,46382,40277,50.00152536685073,0.08881722304541097,0.8553996339231239,0.028065893837705917,0.00601412010807984,0.0006972892878933148,0.0,0.0,0.021005839797786106,0.5114616926697464,0.48853830733025366,0.04933321711845202,0.05682907696330515,0.06075132920770505,0.05037915105029199,0.04419070862023882,0.09814346727098405,0.10834132310642378,0.12455329904994335,0.0948313431534908,0.06676544931578489,0.1537522879804759,0.07992678462477121,0.012202562538133009,0.7989482909728308,0.20105170902716915,0.07896559685984761,0.03186331101362272,0.12306626645116601,0.11544677903486493,0.1523897483260217,0.15839298083583467,0.18356037866543523,0.07919649041791733,0.041791734010621105,0.03532671438466867
"Randall County, Texas",35.6,100621,33372,67397,86352,33814,36230,54305,40771,145.26946265376796,0.20892998678996036,0.7247707114549915,0.028126061521041707,0.003094923570484997,0.016320060388752593,0.0004831100207586337,0.0005434987733534629,0.01773164748065673,0.4912851481411587,0.5087148518588412,0.0653255331194565,0.07124363087374977,0.06397433478014719,0.0735987922249481,0.06949990564257406,0.14605774674466881,0.1269220607661823,0.11806755991696546,0.062215512360822796,0.06032081524816003,0.08318550669937724,0.04394036610681261,0.01564823551613512,0.8931877251379327,0.10681227486206739,0.03972594384695143,0.02693801207636164,0.0714823022343302,0.0980340333828044,0.12505336775977394,0.19289649704190132,0.15071055360156138,0.17677435094638827,0.06800577388334315,0.05037916522658426
"Real County, Texas",55.0,1610,1560,34813,48791,21109,20392,27143,27813,4.847252198713026,0.19828858070227207,0.7993508409560343,0.0014753614635585719,0.0,0.0005901445854234287,0.0,0.0,0.00029507229271171436,0.42077308940690467,0.5792269105930953,0.06727648273827087,0.05694895249336087,0.03570374741811744,0.06403068751844201,0.05606373561522573,0.07435821776335202,0.07671879610504574,0.06904691649454116,0.08881676010622602,0.08143995278843316,0.1560932428444969,0.14045441133077605,0.03304809678371201,0.7241274658573597,0.27587253414264035,0.13773431132844335,0.06764466177669112,0.17603911980440098,0.1198044009779951,0.17603911980440098,0.14180929095354522,0.08801955990220049,0.05215973920130399,0.02689486552567237,0.013854930725346373
"San Saba County, Texas",40.7,3109,2203,44698,63072,24307,25782,41027,29239,5.251415248482136,0.3002348205300235,0.6450855417645086,0.02247567930224757,0.0,0.0005031868500503186,0.0,0.0,0.031700771553170075,0.5154310634015431,0.4845689365984569,0.05283461925528346,0.04008721905400872,0.07631667225763167,0.045790003354579,0.07396846695739685,0.1274740020127474,0.12898356256289836,0.0996309963099631,0.0630660852063066,0.06675612210667561,0.1251257967125126,0.07967125125796712,0.02029520295202952,0.8102079395085067,0.1897920604914934,0.07224334600760456,0.0717680608365019,0.14591254752851712,0.1126425855513308,0.14306083650190113,0.20199619771863117,0.1002851711026616,0.0779467680608365,0.05750950570342205,0.016634980988593156
"Schleicher County, Texas",35.0,2066,689,55677,61014,25128,30734,53676,25379,2.3354966497334892,0.5236850702384842,0.47174126102580854,0.004246978111728194,0.0,0.0,0.0,0.0,0.0003266906239790918,0.5037569421757595,0.49624305782424044,0.061091146684090165,0.08232603724273113,0.08918654034629206,0.05684416857236197,0.05684416857236197,0.15387128389415225,0.09474028095393662,0.11238157464880758,0.061091146684090165,0.07317869977131657,0.09180006533812479,0.04802352172492649,0.018621365566808233,0.7886311662855277,0.2113688337144724,0.10407239819004525,0.03619909502262444,0.08778280542986425,0.12850678733031673,0.11945701357466064,0.2072398190045249,0.14660633484162897,0.11131221719457013,0.04796380090497738,0.01085972850678733
