county_name,total_cases,total_fatalities,death_rate,sex_age_median_age_in_years,health_ins_noninst_pop_private,health_ins_noninst_pop_public,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,pop_density,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more
anderson,2922.0,39,0.013347022587268994,39.1,27169,16504,43355,55852,16868,26621,36865,26890,54.45263167800645,0.1752760831619515,0.5929868828093946,0.2095812522682889,0.002730587767658089,0.005513022138499559,0.00015553980955014432,0.00025923301591690716,0.0134973990287403,0.6119973039766344,0.3880026960233655,0.05169106337383129,0.05158737016746453,0.056616490676252525,0.05253789122582652,0.06155920017973489,0.15244629556020256,0.17118020151046434,0.1427336985638491,0.0557696628242573,0.062181359417935476,0.0839742149560168,0.04287714083265645,0.014845410711508219,0.8593781705859806,0.14062182941401935,0.0588735646151042,0.07418433683698887,0.1374931648338295,0.13062762014703205,0.16228203414545234,0.1972173279057051,0.11209672519594142,0.08700407072118597,0.02563946776839419,0.014581687830366362
andrews,567.0,10,0.01763668430335097,31.2,11313,4332,74233,94962,31190,40478,72970,35194,11.872959730689447,0.5600516331799305,0.4049276013020541,0.018015489953979117,0.0,0.0035357503647996404,0.0011785834549332135,0.0,0.012290941744303513,0.5108317431810528,0.4891682568189472,0.08704680660006735,0.09170501739813673,0.08132225839039174,0.08199573465035358,0.062464923111460326,0.15040969805814344,0.1230777865080256,0.11976652822987988,0.05045459647547424,0.04832192165226176,0.05853631159501627,0.031597261196542825,0.013301156134246268,0.8178279266572638,0.18217207334273625,0.054829339143064634,0.031045751633986932,0.0528322440087146,0.09531590413943357,0.12454611474219315,0.1526870007262164,0.13217138707334786,0.2204066811909949,0.07225853304284678,0.06390704429920116
angelina,2277.0,90,0.039525691699604744,37.2,46576,31836,47714,61152,22322,27411,41488,32622,109.81320711673115,0.2188637894232196,0.6074400447452829,0.1464951430821738,0.0012213635896674926,0.011266223018708551,5.707306493773329e-05,0.0018605819169701047,0.012795781159039805,0.4869359754357528,0.5130640245642472,0.06861323866814295,0.0739324483203397,0.07214035408129488,0.06877304324996861,0.06313422443412056,0.12798064081637311,0.12062963005239308,0.1280719577202735,0.06354515050167224,0.05763238097412308,0.08866871368726244,0.0447224536852078,0.022155763808828062,0.8077395649273904,0.1922604350726096,0.0835526102069324,0.05438066465256797,0.13296299905792158,0.1196114738654452,0.1322483188773024,0.1883182275931521,0.1303641620374882,0.10580515219439303,0.031998180814085696,0.020758210700711432
aransas,340.0,18,0.052941176470588235,49.6,13508,10606,44865,75471,30939,21567,43182,32005,98.24676947736351,0.2728263942171789,0.6740298025279651,0.014739732665670557,0.0005653596090942131,0.01970682065985543,0.0,0.0013326333642935024,0.016799256955942334,0.4856439042119291,0.5143560957880711,0.048742074869765374,0.05023623955094294,0.05568792149578,0.05455720227759157,0.058393571053588014,0.0811694867342406,0.1002705649557808,0.13084036667608934,0.0734967491822477,0.08084642410047248,0.15462585308726728,0.08557121511933126,0.02556233089690264,0.7948581269476792,0.2051418730523208,0.08863443596268024,0.05576759966072943,0.12319762510602204,0.12097116200169634,0.14938507209499574,0.15298982188295165,0.09499575911789652,0.11100508905852416,0.050466497031382535,0.05258693808312129
archer,133.0,1,0.007518796992481203,44.5,6429,2718,64476,80073,31806,32469,49105,37377,9.72999781908116,0.08271703265445443,0.8842871771532598,0.008647172602116282,0.003072021845488679,0.0053475935828877,0.0,0.0,0.01592900216179315,0.4922061667994084,0.5077938332005917,0.04892479235407896,0.05097280691773808,0.07259073842302878,0.06405734440778245,0.06018887245420412,0.1002389350324269,0.11104790078507223,0.1458641483672773,0.0746387529866879,0.07873478211400614,0.10331095687791557,0.06701558766640119,0.02241438161338036,0.885819098933853,0.11418090106614695,0.037515006002400965,0.05972388955582233,0.08673469387755102,0.11794717887154862,0.10354141656662663,0.16506602641056425,0.13865546218487396,0.187875150060024,0.05942376950780313,0.04351740696278512
armstrong,21.0,1,0.047619047619047616,46.3,1378,585,66563,79808,31075,37292,55250,40625,2.1075580595946137,0.06837160751565761,0.9065762004175364,0.0036534446764091852,0.0151356993736952,0.0,0.0,0.0,0.006263048016701462,0.5010438413361169,0.4989561586638831,0.06315240083507306,0.049060542797494784,0.05532359081419624,0.05219206680584551,0.04279749478079332,0.10281837160751564,0.10751565762004177,0.14144050104384134,0.10908141962421712,0.06784968684759916,0.1210855949895616,0.057933194154488526,0.029749478079331943,0.923907177549919,0.07609282245008095,0.02259887005649717,0.05225988700564972,0.05367231638418079,0.0847457627118644,0.09463276836158192,0.2754237288135593,0.1327683615819209,0.1807909604519774,0.07344632768361582,0.029661016949152543
atascosa,1265.0,35,0.02766798418972332,35.4,30168,15883,55265,73390,24421,27043,46273,29942,40.03801430210217,0.6389776357827476,0.3387605472270009,0.002539526501187843,0.0005939215204390923,0.0031129679691980013,0.0,0.0002457606291472106,0.015769640370279347,0.4996723191611371,0.5003276808388629,0.07340050790530024,0.07430163021217334,0.08251413123617596,0.07440403047431801,0.06221839927910215,0.12918817072171704,0.12431391824363072,0.12085278938314085,0.05885967068075694,0.05820430900303105,0.08384533464405669,0.04280330957647251,0.015093798640124518,0.8416224146124759,0.15837758538752406,0.06589978553324234,0.03145512445570937,0.11509715994020925,0.10892311691687788,0.12614544745564438,0.19938909469032298,0.1226359914213297,0.13569896666016767,0.054331578605316184,0.04042373432118022
austin,509.0,9,0.01768172888015717,40.7,20393,8863,65365,80769,30858,33993,55417,38603,45.7314243641066,0.26446812108912565,0.6265854895991883,0.08713005242685608,0.0016235413495687466,0.0030103162523253853,0.0,0.0017588364620328089,0.015423642820903097,0.4966683578555725,0.5033316421444275,0.060206325046507685,0.06629460510739049,0.07163876204972096,0.06294605107390495,0.05790630813461864,0.11293759512937596,0.11077287332995096,0.12924065618129546,0.0787079316759682,0.06690343311347878,0.10969051243023846,0.05181802807373584,0.02093691865381363,0.8788654515666598,0.12113454843334015,0.04365546599039942,0.04157232134770402,0.11366724028620595,0.08395978625124535,0.10741780635811972,0.16764785798387827,0.14953355674304866,0.19472873833891854,0.04990489991848565,0.047912326781994384
bailey,264.0,5,0.01893939393939394,33.5,3638,2624,46485,62434,21449,28543,40411,28184,8.575864720933719,0.6426959954878737,0.33079526226734346,0.006486181613085167,0.01015228426395939,0.009870276367738295,0.0,0.0,0.0,0.5132543711223915,0.4867456288776086,0.06923293852227863,0.09235758601240834,0.05752961082910321,0.0775521714608009,0.08192329385222788,0.13254371122391426,0.1305696559503666,0.10081782289904118,0.051607445008460234,0.06486181613085168,0.06965595036661026,0.05865764241398759,0.012690355329949237,0.7939086294416243,0.20609137055837565,0.056371387967787775,0.05163429654192326,0.08242539081004263,0.1861676930364756,0.18048318332543814,0.15253434391283752,0.11890099478919945,0.09521553765987684,0.05210800568450971,0.024159166271909047
bandera,184.0,8,0.043478260869565216,52.1,13852,8464,53683,70305,28539,27075,47575,37390,27.513448251885286,0.18425768506180212,0.782612691264991,0.0079033221522768,0.004043560170932316,0.0027110232964205304,0.0,0.0007811423057482884,0.017690575747828882,0.5069154068832422,0.4930845931167578,0.039700408950971836,0.04043560170932317,0.05752883334099159,0.04746588246105776,0.048522722051187794,0.08840692919174746,0.09589670541745164,0.13440242613610254,0.0860635022745026,0.1027431879795984,0.15953682856223864,0.0787115746909893,0.020585397233837247,0.8232487027427724,0.17675129725722755,0.05289978160640621,0.05496238776995875,0.098277117204562,0.08129094879883524,0.1676777481193885,0.20262072312545495,0.1239990293618054,0.13018684785246298,0.040888133948070865,0.04719728221305508
