county,race_ethnicity,status,cdc_report_dt,sex,onset_dt,state,age_group
ANDERSON,1048,1111,1111,1086,345,1111,1101
ANDREWS,0,15,15,0,8,15,5
ANGELINA,249,328,328,311,157,328,316
ARANSAS,0,5,5,0,2,5,0
ATASCOSA,0,21,21,0,20,21,6
AUSTIN,0,11,11,0,11,11,0
BAILEY,0,16,16,0,13,16,5
BANDERA,0,5,5,0,4,5,0
BASTROP,0,34,34,5,29,34,25
BEE,417,457,457,435,105,457,449
BELL,100,182,182,153,158,182,165
BEXAR,4511,4585,4585,4556,3521,4585,4571
BOWIE,172,227,227,214,108,227,214
BRAZORIA,850,918,918,906,315,918,911
BRAZOS,1086,1139,1139,1110,851,1139,1116
BROWN,98,169,169,152,86,169,159
BURNET,19,62,62,52,27,62,52
Bexar,0,9,9,0,2,9,0
CALDWELL,0,21,21,12,14,21,12
CALHOUN,0,25,25,5,23,25,5
CALLAHAN,0,7,7,0,7,7,0
CAMERON,432,472,472,438,390,472,456
CAMP,0,7,7,0,6,7,0
CASS,0,15,15,0,13,15,0
CASTRO,0,30,30,0,26,30,11
CHEROKEE,140,171,171,160,71,171,165
COLLIN,1137,1215,1215,1185,1093,1215,1202
COLLINGSWORTH,0,5,5,0,2,5,0
COLORADO,0,10,10,0,9,10,5
COMAL,0,69,69,50,62,69,55
COMANCHE,0,6,6,0,6,6,0
COOKE,0,8,8,0,6,8,0
CORYELL,152,204,204,192,97,204,192
CRANE,5,41,41,22,33,41,22
CROCKETT,0,7,7,0,7,7,0
Collin,0,10,10,0,8,10,5
DALLAM,0,25,25,5,18,25,5
DALLAS,1763,1817,1817,1768,1457,1817,1817
DAWSON,44,88,88,68,47,88,68
DEAF SMITH,94,137,137,111,91,137,127
DENTON,1915,2001,2001,1984,1686,2001,1990
DEWITT,14,34,34,14,25,34,20
DONLEY,0,24,24,5,24,24,10
DUVAL,0,20,20,14,6,20,14
Dallas,0,14,14,0,7,14,0
Davidson,0,13,13,0,11,13,6
EASTLAND,0,6,6,0,6,6,0
ECTOR,11,42,42,21,37,42,27
EL PASO,1164,1241,1241,1191,900,1241,1227
ELLIS,207,274,274,242,255,274,250
ERATH,0,14,14,0,13,14,0
FANNIN,18,61,61,44,47,61,49
FISHER,0,9,9,0,4,9,0
FLOYD,0,5,5,0,5,5,0
FORT BEND,466,523,523,508,75,523,513
FREESTONE,0,13,13,5,8,13,5
FRIO,6,25,25,13,10,25,13
Fort Bend,0,11,11,0,10,11,0
GAINES,0,14,14,0,12,14,0
GALVESTON,769,832,832,808,631,832,826
GARZA,0,5,5,0,5,5,0
GILLESPIE,0,5,5,0,5,5,0
GONZALES,28,54,54,28,46,54,35
GRAY,27,100,100,76,74,100,81
GRAYSON,355,425,425,396,303,425,419
GREGG,26,96,96,77,82,96,89
GRIMES,400,416,416,405,90,416,405
GUADALUPE,27,89,89,76,78,89,81
HALE,50,88,88,67,34,88,77
HANSFORD,0,13,13,0,12,13,0
HARDIN,73,125,125,98,112,125,114
HARRIS,1283,1354,1354,1322,1057,1354,1335
HARRISON,22,71,71,44,49,71,64
HARTLEY,0,6,6,0,4,6,0
HAYS,75,141,141,119,125,141,124
HENDERSON,0,23,23,6,22,23,12
HIDALGO,1254,1298,1298,1280,464,1298,1286
HILL,0,8,8,0,7,8,0
HOCKLEY,5,24,24,5,20,24,11
HOOD,0,26,26,6,24,26,13
HOPKINS,0,5,5,0,5,5,0
HOUSTON,100,137,137,127,33,137,132
HOWARD,0,22,22,0,17,22,0
HUDSPETH,0,9,9,0,8,9,0
HUNT,0,40,40,10,30,40,23
HUTCHINSON,0,33,33,14,33,33,20
Harris,0,32,32,5,14,32,19
JACK,6,24,24,17,13,24,17
JACKSON,0,10,10,0,5,10,0
JASPER,132,147,147,137,17,147,142
JEFF DAVIS,0,6,6,0,2,6,0
JEFFERSON,821,860,860,851,79,860,851
JIM WELLS,0,11,11,0,9,11,0
JOHNSON,88,155,155,120,139,155,140
JONES,445,463,463,445,72,463,451
KARNES,184,212,212,197,44,212,197
KAUFMAN,125,204,204,185,180,204,185
KENDALL,0,13,13,0,11,13,5
KERR,0,6,6,0,4,6,0
KLEBERG,0,19,19,0,13,19,10
Knox,0,6,6,0,4,6,0
LA SALLE,163,187,187,172,34,187,172
LAMB,0,12,12,0,8,12,6
LAVACA,0,7,7,0,6,7,0
LIBERTY,43,107,107,88,72,107,94
LIVE OAK,0,10,10,0,8,10,0
LUBBOCK,463,509,509,468,318,509,490
LYNN,0,9,9,0,9,9,0
MADISON,194,199,199,199,40,199,199
MARION,0,9,9,0,7,9,0
MASON,5,30,30,11,24,30,22
MATAGORDA,0,46,46,8,41,46,35
MAVERICK,0,12,12,0,11,12,0
MCCULLOCH,0,6,6,0,4,6,0
MCLENNAN,21,54,54,31,53,54,44
MEDINA,252,319,319,294,63,319,307
MIDLAND,5,59,59,26,58,59,38
MILAM,0,22,22,0,20,22,0
MITCHELL,328,352,352,328,25,352,338
MONTAGUE,0,9,9,0,9,9,0
MONTGOMERY,22,78,78,54,67,78,67
MOORE,369,473,473,440,433,473,456
Montgomery,0,6,6,0,2,6,0
NACOGDOCHES,60,148,148,129,110,148,135
NAVARRO,458,548,548,532,445,548,542
NOLAN,15,70,70,51,44,70,51
NUECES,652,706,706,672,388,706,691
OCHILTREE,5,40,40,23,30,40,23
ORANGE,50,98,98,74,90,98,86
Other,0,14,14,0,8,14,0
PALO PINTO,0,13,13,0,10,13,0
PANOLA,0,61,61,26,45,61,55
PARKER,6,68,68,52,61,68,57
PARMER,25,46,46,30,40,46,30
